MaPhongDuocDat,MaDatPhong,MaPhong,NgayNhanPhong,NgayTraPhong,TongTienPhong
PDD011724,DP08670,CMU002_R029,2024-06-03,2024-06-06,6000000
PDD011725,DP08670,LCI001_R001,2024-06-03,2024-06-06,3600000
PDD011726,DP08671,CMU001_R009,2024-06-03,2024-06-06,3600000
PDD011727,DP08672,CMU002_R006,2024-06-03,2024-06-04,1200000
PDD011728,DP08672,LCI001_R009,2024-06-03,2024-06-04,1200000
PDD011729,DP08673,HBI001_R008,2024-06-03,2024-06-08,9000000
PDD011730,DP08674,QBI002_R004,2024-06-03,2024-06-07,7200000
PDD011731,DP08675,CTO001_R006,2024-06-03,2024-06-07,4800000
PDD011732,DP08675,HNO002_R017,2024-06-03,2024-06-05,4000000
PDD011733,DP08676,DLK001_R026,2024-06-03,2024-06-04,2800000
PDD011734,DP08677,VPC002_R004,2024-06-03,2024-06-07,4800000
PDD011735,DP08678,LAG002_R021,2024-06-03,2024-06-07,8000000
PDD011736,DP08678,HNO001_R019,2024-06-03,2024-06-08,7500000
PDD011737,DP08679,TBG001_R020,2024-06-03,2024-06-04,2200000
PDD011738,DP08680,HUG001_R007,2024-06-03,2024-06-08,6000000
PDD011739,DP08681,PYN002_R033,2024-06-03,2024-06-08,10000000
PDD011740,DP08681,BNH002_R035,2024-06-03,2024-06-08,10000000
PDD011741,DP08682,TNH001_R020,2024-06-03,2024-06-04,2400000
PDD011742,DP08683,AGG005_R001,2024-06-03,2024-06-08,6000000
PDD011743,DP08684,VPC001_R008,2024-06-03,2024-06-07,4800000
PDD011744,DP08685,HNO003_R035,2024-06-03,2024-06-08,8500000
PDD011745,DP08685,HNO002_R018,2024-06-03,2024-06-07,6800000
PDD011746,DP08686,BDG001_R039,2024-06-03,2024-06-07,6800000
PDD011747,DP08687,DBI001_R021,2024-06-03,2024-06-07,8800000
PDD011748,DP08688,TNH002_R017,2024-06-03,2024-06-04,2400000
PDD011749,DP08689,TTH002_R010,2024-06-03,2024-06-08,17500000
PDD011750,DP08690,HPG002_R001,2024-06-03,2024-06-06,3600000
PDD011751,DP08691,DNG001_R012,2024-06-03,2024-06-05,7000000
PDD011752,DP08692,BDG001_R016,2024-06-03,2024-06-06,5400000
PDD011753,DP08693,KHA001_R009,2024-06-03,2024-06-04,1200000
PDD011754,DP08694,DNG002_R007,2024-06-03,2024-06-04,1200000
PDD011755,DP08695,THA002_R001,2024-06-03,2024-06-05,2400000
PDD011756,DP08696,DLK001_R028,2024-06-03,2024-06-06,10500000
PDD011757,DP08696,BTN002_R013,2024-06-03,2024-06-05,3600000
PDD011758,DP08697,VLO002_R019,2024-06-03,2024-06-08,7500000
PDD011759,DP08697,AGG003_R037,2024-06-03,2024-06-04,1100000
PDD011760,DP08698,PYN002_R026,2024-06-03,2024-06-05,5600000
PDD011761,DP08699,YBI002_R017,2024-06-03,2024-06-08,9000000
PDD011762,DP08700,BRV001_R014,2024-06-03,2024-06-04,1800000
PDD011763,DP08701,LDO001_R015,2024-06-03,2024-06-08,10000000
PDD011764,DP08702,CMU002_R017,2024-06-03,2024-06-04,1500000
PDD011765,DP08703,DNO001_R009,2024-06-03,2024-06-04,1800000
PDD011766,DP08704,DLK001_R031,2024-06-03,2024-06-05,4400000
PDD011767,DP08705,HPG001_R006,2024-06-03,2024-06-04,1200000
PDD011768,DP08705,DBI001_R023,2024-06-03,2024-06-04,1700000
PDD011769,DP08706,HUG001_R017,2024-06-03,2024-06-05,4800000
PDD011770,DP08707,CBG001_R008,2024-06-03,2024-06-08,9000000
PDD011771,DP08707,AGG003_R021,2024-06-03,2024-06-07,6000000
PDD011772,DP08708,AGG004_R003,2024-06-03,2024-06-05,2400000
PDD011773,DP08709,VPC001_R025,2024-06-03,2024-06-08,10000000
PDD011774,DP08709,BTE001_R035,2024-06-03,2024-06-06,3300000
PDD011775,DP08710,QNG001_R024,2024-06-03,2024-06-07,11200000
PDD011776,DP08711,NTN002_R024,2024-06-03,2024-06-05,5600000
PDD011777,DP08712,HPG001_R036,2024-06-03,2024-06-05,2600000
PDD011778,DP08713,LCH002_R005,2024-06-03,2024-06-07,4800000
PDD011779,DP08713,TTH001_R013,2024-06-03,2024-06-08,7500000
PDD011780,DP08714,DLK001_R034,2024-06-03,2024-06-04,1700000
PDD011781,DP08715,AGG002_R001,2024-06-03,2024-06-05,2400000
PDD011782,DP08715,GLI001_R016,2024-06-03,2024-06-06,5400000
PDD011783,DP08716,BRV002_R017,2024-06-03,2024-06-04,2000000
PDD011784,DP08717,KHA001_R007,2024-06-03,2024-06-05,2400000
PDD011785,DP08718,HBI002_R012,2024-06-03,2024-06-04,1800000
PDD011786,DP08719,QBI001_R039,2024-06-03,2024-06-04,1700000
PDD011787,DP08720,LCH002_R016,2024-06-03,2024-06-05,4800000
PDD011788,DP08721,NTN001_R027,2024-06-03,2024-06-05,2200000
PDD011789,DP08721,DNG001_R013,2024-06-03,2024-06-05,4400000
PDD011790,DP08721,LCA001_R019,2024-06-03,2024-06-08,8500000
PDD011791,DP08722,BRV004_R010,2024-06-03,2024-06-08,6000000
PDD011792,DP08723,CBG001_R004,2024-06-03,2024-06-06,3600000
PDD011793,DP08723,KGI002_R010,2024-06-03,2024-06-04,1200000
PDD011794,DP08724,HPG002_R015,2024-06-03,2024-06-08,9000000
PDD011795,DP08725,PTU002_R011,2024-06-03,2024-06-05,2400000
PDD011796,DP08726,DBI002_R021,2024-06-03,2024-06-05,4400000
PDD011797,DP08727,BGG003_R007,2024-06-04,2024-06-09,6000000
PDD011798,DP08728,NDH001_R006,2024-06-04,2024-06-06,2400000
PDD011799,DP08729,BTN002_R008,2024-06-04,2024-06-05,1200000
PDD011800,DP08730,NDH001_R021,2024-06-04,2024-06-08,8800000
PDD011801,DP08731,BRV001_R003,2024-06-04,2024-06-09,6000000
PDD011802,DP08732,DBI001_R010,2024-06-04,2024-06-08,7200000
PDD011803,DP08733,DBI001_R002,2024-06-04,2024-06-07,3600000
PDD011804,DP08733,STG002_R003,2024-06-04,2024-06-08,4800000
PDD011805,DP08734,NDH001_R007,2024-06-04,2024-06-07,3600000
PDD011806,DP08735,HTH002_R004,2024-06-04,2024-06-07,5400000
PDD011807,DP08736,HPG001_R016,2024-06-04,2024-06-09,9000000
PDD011808,DP08736,AGG005_R005,2024-06-04,2024-06-05,1800000
PDD011809,DP08737,LCH001_R008,2024-06-04,2024-06-09,9000000
PDD011810,DP08738,NDH001_R015,2024-06-04,2024-06-06,3000000
PDD011811,DP08739,PYN002_R001,2024-06-04,2024-06-08,4800000
PDD011812,DP08740,QTR002_R017,2024-06-04,2024-06-08,7200000
PDD011813,DP08740,NTN001_R020,2024-06-04,2024-06-05,2200000
PDD011814,DP08740,HNO005_R013,2024-06-04,2024-06-09,7500000
PDD011815,DP08741,KGI002_R010,2024-06-04,2024-06-06,2400000
PDD011816,DP08742,BRV004_R017,2024-06-04,2024-06-07,5400000
PDD011817,DP08742,CBG002_R009,2024-06-04,2024-06-09,9000000
PDD011818,DP08743,HNA002_R011,2024-06-04,2024-06-06,5600000
PDD011819,DP08744,QNG001_R001,2024-06-04,2024-06-06,2400000
PDD011820,DP08744,BTE001_R008,2024-06-04,2024-06-09,6000000
PDD011821,DP08745,HGG001_R002,2024-06-04,2024-06-07,3600000
PDD011822,DP08746,HNO001_R005,2024-06-04,2024-06-05,1200000
PDD011823,DP08747,LCH001_R013,2024-06-04,2024-06-08,6000000
PDD011824,DP08748,HYN001_R015,2024-06-04,2024-06-07,4500000
PDD011825,DP08748,DNO001_R013,2024-06-04,2024-06-07,5400000
PDD011826,DP08748,HPG002_R028,2024-06-04,2024-06-07,8400000
PDD011827,DP08749,BNH002_R042,2024-06-04,2024-06-05,1100000
PDD011828,DP08749,BLU001_R014,2024-06-04,2024-06-09,11000000
PDD011829,DP08749,BDG001_R012,2024-06-04,2024-06-06,3600000
PDD011830,DP08750,DLK001_R003,2024-06-04,2024-06-08,4800000
PDD011831,DP08751,BDH001_R014,2024-06-04,2024-06-08,6000000
PDD011832,DP08751,CMU001_R026,2024-06-04,2024-06-06,4400000
PDD011833,DP08752,KGI001_R014,2024-06-04,2024-06-07,4500000
PDD011834,DP08753,TTH002_R004,2024-06-04,2024-06-06,2400000
PDD011835,DP08754,AGG002_R010,2024-06-04,2024-06-08,7200000
PDD011836,DP08755,TNI002_R007,2024-06-04,2024-06-09,12000000
PDD011837,DP08756,BDG001_R006,2024-06-04,2024-06-08,4800000
PDD011838,DP08757,DBI001_R025,2024-06-04,2024-06-07,3000000
PDD011839,DP08758,BTN001_R008,2024-06-04,2024-06-06,3600000
PDD011840,DP08759,NBH001_R017,2024-06-04,2024-06-06,4800000
PDD011841,DP08760,BNH002_R001,2024-06-04,2024-06-06,2400000
PDD011842,DP08761,BRV004_R034,2024-06-04,2024-06-09,8500000
PDD011843,DP08762,HNO003_R039,2024-06-04,2024-06-09,5500000
PDD011844,DP08762,NTN002_R015,2024-06-04,2024-06-05,1800000
PDD011845,DP08763,HYN002_R004,2024-06-04,2024-06-08,4800000
PDD011846,DP08763,LAG002_R020,2024-06-04,2024-06-08,8800000
PDD011847,DP08764,TTH002_R005,2024-06-04,2024-06-09,9000000
PDD011848,DP08765,KTM001_R013,2024-06-04,2024-06-09,17500000
PDD011849,DP08766,BRV001_R027,2024-06-04,2024-06-08,14000000
PDD011850,DP08767,NTN002_R005,2024-06-04,2024-06-09,6000000
PDD011851,DP08768,BLU002_R011,2024-06-04,2024-06-05,2800000
PDD011852,DP08769,HGG001_R004,2024-06-04,2024-06-05,1200000
PDD011853,DP08769,AGG002_R008,2024-06-04,2024-06-06,2400000
PDD011854,DP08769,DNG001_R006,2024-06-04,2024-06-07,5400000
PDD011855,DP08770,HUG001_R026,2024-06-04,2024-06-09,6500000
PDD011856,DP08771,NTN001_R024,2024-06-04,2024-06-06,3400000
PDD011857,DP08772,NTN001_R001,2024-06-04,2024-06-05,1200000
PDD011858,DP08772,NTN001_R010,2024-06-04,2024-06-07,5400000
PDD011859,DP08773,LCH002_R023,2024-06-05,2024-06-07,3400000
PDD011860,DP08774,KGI001_R016,2024-06-05,2024-06-06,2800000
PDD011861,DP08775,HPG002_R013,2024-06-05,2024-06-08,5400000
PDD011862,DP08776,HPG002_R011,2024-06-05,2024-06-08,3600000
PDD011863,DP08777,KHA002_R014,2024-06-05,2024-06-06,2800000
PDD011864,DP08778,TNH001_R014,2024-06-05,2024-06-10,9000000
PDD011865,DP08779,DBI002_R007,2024-06-05,2024-06-07,2400000
PDD011866,DP08779,QNG001_R008,2024-06-05,2024-06-06,1200000
PDD011867,DP08780,HNO001_R026,2024-06-05,2024-06-06,3500000
PDD011868,DP08781,KGI002_R007,2024-06-05,2024-06-10,6000000
PDD011869,DP08782,BDG001_R010,2024-06-05,2024-06-10,6000000
PDD011870,DP08782,PTU002_R025,2024-06-05,2024-06-10,14000000
PDD011871,DP08783,QNI001_R027,2024-06-05,2024-06-06,1100000
PDD011872,DP08784,LCI002_R016,2024-06-05,2024-06-07,4800000
PDD011873,DP08785,BNH002_R026,2024-06-05,2024-06-08,7200000
PDD011874,DP08786,HGG001_R024,2024-06-05,2024-06-10,14000000
PDD011875,DP08786,BTE001_R007,2024-06-05,2024-06-06,1200000
PDD011876,DP08787,BDG001_R020,2024-06-05,2024-06-10,7500000
PDD011877,DP08788,QNA001_R012,2024-06-05,2024-06-06,1500000
PDD011878,DP08789,QTR002_R033,2024-06-05,2024-06-09,8800000
PDD011879,DP08789,GLI001_R007,2024-06-05,2024-06-06,1200000
PDD011880,DP08790,LCH001_R016,2024-06-05,2024-06-09,11200000
PDD011881,DP08790,STG001_R015,2024-06-05,2024-06-06,3500000
PDD011882,DP08791,HUG001_R022,2024-06-05,2024-06-09,8000000
PDD011883,DP08792,CTO001_R028,2024-06-05,2024-06-10,5500000
PDD011884,DP08792,DLK001_R016,2024-06-05,2024-06-10,9000000
PDD011885,DP08793,QTR002_R023,2024-06-05,2024-06-10,7500000
PDD011886,DP08793,KHA001_R010,2024-06-05,2024-06-07,3600000
PDD011887,DP08793,TNI001_R014,2024-06-05,2024-06-08,4500000
PDD011888,DP08794,DNG003_R016,2024-06-05,2024-06-10,11000000
PDD011889,DP08794,BDH002_R011,2024-06-05,2024-06-06,1800000
PDD011890,DP08795,QBI001_R037,2024-06-05,2024-06-09,6800000
PDD011891,DP08796,BTE002_R012,2024-06-05,2024-06-08,8400000
PDD011892,DP08797,HNO003_R022,2024-06-05,2024-06-08,4500000
PDD011893,DP08798,TNH002_R008,2024-06-05,2024-06-06,1200000
PDD011894,DP08799,BNH001_R001,2024-06-05,2024-06-07,2400000
PDD011895,DP08799,DLK002_R003,2024-06-05,2024-06-09,4800000
PDD011896,DP08800,BTE001_R015,2024-06-05,2024-06-08,5400000
PDD011897,DP08801,VPC002_R009,2024-06-05,2024-06-10,7500000
PDD011898,DP08802,HGG001_R035,2024-06-05,2024-06-09,4000000
PDD011899,DP08802,BRV003_R006,2024-06-05,2024-06-06,1200000
PDD011900,DP08803,QBI002_R011,2024-06-05,2024-06-10,10000000
PDD011901,DP08804,PYN001_R007,2024-06-05,2024-06-08,7200000
PDD011902,DP08805,VPC002_R007,2024-06-05,2024-06-10,9000000
PDD011903,DP08806,LDO001_R011,2024-06-05,2024-06-08,7200000
PDD011904,DP08807,HBI002_R015,2024-06-05,2024-06-09,6000000
PDD011905,DP08807,TNH001_R034,2024-06-05,2024-06-09,5200000
PDD011906,DP08808,BTE001_R021,2024-06-05,2024-06-07,4800000
PDD011907,DP08808,HGG002_R022,2024-06-05,2024-06-09,8800000
PDD011908,DP08809,BTE001_R027,2024-06-05,2024-06-08,6600000
PDD011909,DP08810,QTR001_R013,2024-06-05,2024-06-10,9000000
PDD011910,DP08810,YBI001_R007,2024-06-05,2024-06-06,1800000
PDD011911,DP08811,BLU001_R008,2024-06-05,2024-06-08,5400000
PDD011912,DP08811,TTH001_R009,2024-06-05,2024-06-07,3600000
PDD011913,DP08812,NTN002_R002,2024-06-05,2024-06-10,6000000
PDD011914,DP08813,HPG001_R019,2024-06-05,2024-06-09,6000000
PDD011915,DP08813,HNO002_R016,2024-06-05,2024-06-08,6600000
PDD011916,DP08814,DBI001_R016,2024-06-05,2024-06-08,4500000
PDD011917,DP08815,VLO002_R004,2024-06-05,2024-06-06,1200000
PDD011918,DP08816,BDG001_R028,2024-06-05,2024-06-07,5600000
PDD011919,DP08817,BKN001_R010,2024-06-05,2024-06-07,3600000
PDD011920,DP08818,HNO001_R031,2024-06-05,2024-06-10,10000000
PDD011921,DP08819,THA002_R002,2024-06-05,2024-06-07,2400000
PDD011922,DP08820,HTH001_R028,2024-06-05,2024-06-06,2000000
PDD011923,DP08821,TBG001_R013,2024-06-05,2024-06-10,9000000
PDD011924,DP08822,HPG001_R034,2024-06-05,2024-06-07,3400000
PDD011925,DP08823,CTO002_R011,2024-06-05,2024-06-10,12000000
PDD011926,DP08823,AGG004_R028,2024-06-05,2024-06-10,10000000
PDD011927,DP08824,QBI001_R014,2024-06-05,2024-06-09,7200000
PDD011928,DP08825,DNG002_R019,2024-06-05,2024-06-09,8800000
PDD011929,DP08826,KGI002_R018,2024-06-05,2024-06-10,7500000
PDD011930,DP08826,THA001_R006,2024-06-05,2024-06-09,4800000
PDD011931,DP08826,AGG003_R018,2024-06-05,2024-06-06,1500000
PDD011932,DP08827,HNO003_R011,2024-06-05,2024-06-08,3600000
PDD011933,DP08828,HNO002_R013,2024-06-05,2024-06-10,12000000
PDD011934,DP08829,QTR002_R035,2024-06-05,2024-06-10,10000000
PDD011935,DP08829,TBI002_R005,2024-06-05,2024-06-09,4800000
PDD011936,DP08830,SLA001_R022,2024-06-05,2024-06-07,5600000
PDD011937,DP08830,BRV003_R010,2024-06-05,2024-06-08,5400000
PDD011938,DP08831,BGG003_R033,2024-06-05,2024-06-07,3400000
PDD011939,DP08832,AGG002_R022,2024-06-05,2024-06-07,5600000
PDD011940,DP08833,NTN001_R020,2024-06-05,2024-06-10,11000000
PDD011941,DP08833,DLK001_R008,2024-06-05,2024-06-10,6000000
PDD011942,DP08834,BTN002_R004,2024-06-05,2024-06-08,3600000
PDD011943,DP08834,VLO002_R020,2024-06-05,2024-06-08,4500000
PDD011944,DP08835,DLK001_R001,2024-06-05,2024-06-06,1200000
PDD011945,DP08836,LAG002_R009,2024-06-05,2024-06-06,1800000
PDD011946,DP08837,GLI002_R009,2024-06-05,2024-06-06,1800000
PDD011947,DP08837,HNO002_R003,2024-06-05,2024-06-08,3600000
PDD011948,DP08837,QBI001_R013,2024-06-05,2024-06-06,1800000
PDD011949,DP08838,LCI001_R039,2024-06-05,2024-06-07,3400000
PDD011950,DP08839,QNI001_R006,2024-06-05,2024-06-10,6000000
PDD011951,DP08839,KGI002_R035,2024-06-05,2024-06-10,5000000
PDD011952,DP08840,CMU001_R022,2024-06-05,2024-06-10,14000000
PDD011953,DP08840,QBI001_R032,2024-06-05,2024-06-08,6600000
PDD011954,DP08841,BNH002_R034,2024-06-05,2024-06-08,6000000
PDD011955,DP08842,HTH001_R035,2024-06-05,2024-06-06,1100000
PDD011956,DP08843,BNH002_R012,2024-06-06,2024-06-10,7200000
PDD011957,DP08844,CMU001_R017,2024-06-06,2024-06-10,6000000
PDD011958,DP08844,YBI002_R009,2024-06-06,2024-06-07,1200000
PDD011959,DP08844,BNH002_R002,2024-06-06,2024-06-08,2400000
PDD011960,DP08845,HBI001_R004,2024-06-06,2024-06-10,4800000
PDD011961,DP08845,LCI001_R012,2024-06-06,2024-06-07,1800000
PDD011962,DP08846,LCH001_R014,2024-06-06,2024-06-09,4500000
PDD011963,DP08847,HNO002_R002,2024-06-06,2024-06-09,3600000
PDD011964,DP08847,BDG001_R014,2024-06-06,2024-06-07,1800000
PDD011965,DP08848,TNH002_R011,2024-06-06,2024-06-10,7200000
PDD011966,DP08849,DBI002_R021,2024-06-06,2024-06-10,8800000
PDD011967,DP08849,BNH001_R017,2024-06-06,2024-06-08,4800000
PDD011968,DP08850,KTM001_R003,2024-06-06,2024-06-08,2400000
PDD011969,DP08850,TVH002_R002,2024-06-06,2024-06-08,2400000
PDD011970,DP08851,QNA001_R014,2024-06-06,2024-06-10,6000000
PDD011971,DP08852,SLA002_R011,2024-06-06,2024-06-09,5400000
PDD011972,DP08853,TVH002_R017,2024-06-06,2024-06-11,17500000
PDD011973,DP08854,QTR002_R034,2024-06-06,2024-06-11,10000000
PDD011974,DP08855,HYN001_R002,2024-06-06,2024-06-10,4800000
PDD011975,DP08856,STG001_R007,2024-06-06,2024-06-09,5400000
PDD011976,DP08857,VLO002_R022,2024-06-06,2024-06-11,12000000
PDD011977,DP08858,NBH001_R014,2024-06-06,2024-06-11,7500000
PDD011978,DP08858,QTR002_R039,2024-06-06,2024-06-09,5100000
PDD011979,DP08859,PYN002_R028,2024-06-06,2024-06-08,7000000
PDD011980,DP08860,HNO003_R036,2024-06-06,2024-06-09,5100000
PDD011981,DP08860,HNO003_R027,2024-06-06,2024-06-11,17500000
PDD011982,DP08861,TNI001_R023,2024-06-06,2024-06-11,8500000
PDD011983,DP08862,BRV004_R009,2024-06-06,2024-06-09,3600000
PDD011984,DP08863,BTE001_R022,2024-06-06,2024-06-10,11200000
PDD011985,DP08864,KGI002_R022,2024-06-06,2024-06-09,7200000
PDD011986,DP08865,GLI001_R003,2024-06-06,2024-06-07,1200000
PDD011987,DP08866,HPG001_R014,2024-06-06,2024-06-09,5400000
PDD011988,DP08867,QBI001_R042,2024-06-06,2024-06-07,1100000
PDD011989,DP08868,HGG001_R004,2024-06-06,2024-06-10,4800000
PDD011990,DP08869,HNO001_R037,2024-06-06,2024-06-11,5500000
PDD011991,DP08870,BKN001_R022,2024-06-06,2024-06-11,8500000
PDD011992,DP08871,HGG001_R013,2024-06-06,2024-06-11,9000000
PDD011993,DP08872,BRV004_R022,2024-06-06,2024-06-10,6000000
PDD011994,DP08873,HYN002_R009,2024-06-06,2024-06-09,8400000
PDD011995,DP08874,NBH002_R019,2024-06-06,2024-06-08,4400000
PDD011996,DP08875,DLK001_R019,2024-06-06,2024-06-09,4500000
PDD011997,DP08876,DTP002_R004,2024-06-06,2024-06-09,5400000
PDD011998,DP08877,DNG002_R015,2024-06-06,2024-06-09,4500000
PDD011999,DP08877,TBI001_R012,2024-06-06,2024-06-11,12000000
PDD012000,DP08878,NTN001_R001,2024-06-06,2024-06-08,2400000
PDD012001,DP08879,CMU002_R024,2024-06-06,2024-06-09,10500000
PDD012002,DP08880,TVH001_R015,2024-06-06,2024-06-08,4000000
PDD012003,DP08881,YBI002_R007,2024-06-06,2024-06-09,3600000
PDD012004,DP08882,CMU002_R016,2024-06-06,2024-06-10,6000000
PDD012005,DP08883,HNO005_R017,2024-06-06,2024-06-11,14000000
PDD012006,DP08884,TNH001_R017,2024-06-06,2024-06-07,1500000
PDD012007,DP08884,KHA001_R011,2024-06-06,2024-06-10,7200000
PDD012008,DP08885,LCH001_R012,2024-06-06,2024-06-10,6000000
PDD012009,DP08886,BTE001_R016,2024-06-06,2024-06-07,1500000
PDD012010,DP08887,HGG001_R008,2024-06-06,2024-06-10,4800000
PDD012011,DP08888,HDG001_R005,2024-06-07,2024-06-11,7200000
PDD012012,DP08889,SLA002_R002,2024-06-07,2024-06-09,2400000
PDD012013,DP08890,HNO003_R034,2024-06-07,2024-06-11,6800000
PDD012014,DP08891,HPG001_R009,2024-06-07,2024-06-09,2400000
PDD012015,DP08891,BLU001_R016,2024-06-07,2024-06-11,6800000
PDD012016,DP08892,BNH001_R010,2024-06-07,2024-06-09,3600000
PDD012017,DP08892,HNO003_R032,2024-06-07,2024-06-09,4000000
PDD012018,DP08893,QNA001_R001,2024-06-07,2024-06-12,6000000
PDD012019,DP08894,KHA002_R012,2024-06-07,2024-06-10,4500000
PDD012020,DP08894,CTO002_R014,2024-06-07,2024-06-12,11000000
PDD012021,DP08895,DNO001_R013,2024-06-07,2024-06-10,5400000
PDD012022,DP08895,DNA002_R035,2024-06-07,2024-06-12,5000000
PDD012023,DP08896,NTN001_R022,2024-06-07,2024-06-08,2000000
PDD012024,DP08897,BGG002_R012,2024-06-07,2024-06-12,9000000
PDD012025,DP08898,HNO001_R020,2024-06-07,2024-06-11,6000000
PDD012026,DP08899,BRV001_R015,2024-06-07,2024-06-09,3600000
PDD012027,DP08899,CMU001_R013,2024-06-07,2024-06-12,9000000
PDD012028,DP08900,NBH001_R021,2024-06-07,2024-06-09,4400000
PDD012029,DP08901,SLA002_R009,2024-06-07,2024-06-11,7200000
PDD012030,DP08902,HNA002_R008,2024-06-07,2024-06-09,3000000
PDD012031,DP08903,BTN002_R016,2024-06-07,2024-06-08,1500000
PDD012032,DP08903,NTN002_R007,2024-06-07,2024-06-08,1200000
PDD012033,DP08904,TTH002_R001,2024-06-07,2024-06-08,1200000
PDD012034,DP08904,QBI001_R016,2024-06-07,2024-06-10,5400000
PDD012035,DP08905,KHA001_R029,2024-06-07,2024-06-10,3900000
PDD012036,DP08906,HBI002_R011,2024-06-07,2024-06-12,9000000
PDD012037,DP08907,QNI002_R004,2024-06-07,2024-06-12,6000000
PDD012038,DP08907,CBG002_R020,2024-06-07,2024-06-09,4400000
PDD012039,DP08907,BLU002_R013,2024-06-07,2024-06-11,8800000
PDD012040,DP08908,NBH002_R021,2024-06-07,2024-06-09,4000000
PDD012041,DP08909,BGG001_R031,2024-06-07,2024-06-10,6000000
PDD012042,DP08910,DNO001_R020,2024-06-07,2024-06-12,11000000
PDD012043,DP08910,VLO002_R026,2024-06-07,2024-06-09,7000000
PDD012044,DP08911,PYN001_R010,2024-06-07,2024-06-09,4400000
PDD012045,DP08911,LCI001_R037,2024-06-07,2024-06-10,5100000
PDD012046,DP08911,QNG001_R014,2024-06-07,2024-06-12,9000000
PDD012047,DP08912,AGG002_R018,2024-06-07,2024-06-11,6000000
PDD012048,DP08913,QNG001_R015,2024-06-07,2024-06-10,5400000
PDD012049,DP08914,HNO002_R001,2024-06-07,2024-06-09,2400000
PDD012050,DP08915,HTH001_R012,2024-06-07,2024-06-11,7200000
PDD012051,DP08916,HPG001_R020,2024-06-07,2024-06-11,6000000
PDD012052,DP08917,TTH002_R002,2024-06-07,2024-06-10,3600000
PDD012053,DP08917,CMU002_R021,2024-06-07,2024-06-12,12000000
PDD012054,DP08918,CBG001_R013,2024-06-07,2024-06-09,7000000
PDD012055,DP08919,BNH002_R015,2024-06-07,2024-06-12,9000000
PDD012056,DP08920,BGG003_R024,2024-06-07,2024-06-10,8400000
PDD012057,DP08921,AGG004_R017,2024-06-07,2024-06-08,1500000
PDD012058,DP08921,DLK001_R007,2024-06-07,2024-06-12,6000000
PDD012059,DP08922,VPC001_R018,2024-06-07,2024-06-10,4500000
PDD012060,DP08923,TBI002_R011,2024-06-07,2024-06-11,6000000
PDD012061,DP08924,HNO004_R001,2024-06-07,2024-06-11,4800000
PDD012062,DP08925,TBI002_R012,2024-06-07,2024-06-11,6000000
PDD012063,DP08926,PTU002_R011,2024-06-07,2024-06-12,6000000
PDD012064,DP08926,LAG002_R012,2024-06-07,2024-06-08,1800000
PDD012065,DP08927,LCH001_R019,2024-06-07,2024-06-10,6600000
PDD012066,DP08928,HUG001_R013,2024-06-07,2024-06-08,1800000
PDD012067,DP08929,BDH002_R003,2024-06-07,2024-06-11,4800000
PDD012068,DP08930,HPG002_R035,2024-06-08,2024-06-12,8000000
PDD012069,DP08931,DNA002_R034,2024-06-08,2024-06-11,5100000
PDD012070,DP08932,AGG002_R001,2024-06-08,2024-06-12,4800000
PDD012071,DP08933,HNO003_R007,2024-06-08,2024-06-10,2400000
PDD012072,DP08934,VPC001_R013,2024-06-08,2024-06-09,1800000
PDD012073,DP08934,NTN002_R028,2024-06-08,2024-06-11,6600000
PDD012074,DP08935,HNO001_R026,2024-06-08,2024-06-10,7000000
PDD012075,DP08935,BNH002_R010,2024-06-08,2024-06-10,2400000
PDD012076,DP08936,HNO003_R010,2024-06-08,2024-06-12,4800000
PDD012077,DP08936,NBH002_R018,2024-06-08,2024-06-12,14000000
PDD012078,DP08937,NBH002_R013,2024-06-08,2024-06-13,7500000
PDD012079,DP08937,HUG001_R007,2024-06-08,2024-06-10,2400000
PDD012080,DP08938,HTH001_R028,2024-06-08,2024-06-11,6000000
PDD012081,DP08939,LCH001_R003,2024-06-08,2024-06-11,3600000
PDD012082,DP08939,QTR002_R020,2024-06-08,2024-06-11,4500000
PDD012083,DP08940,DNG002_R023,2024-06-08,2024-06-12,6800000
PDD012084,DP08941,LCA001_R003,2024-06-08,2024-06-09,1200000
PDD012085,DP08942,THA001_R005,2024-06-08,2024-06-11,3600000
PDD012086,DP08943,CBG002_R002,2024-06-08,2024-06-10,2400000
PDD012087,DP08944,TBG002_R002,2024-06-08,2024-06-11,3600000
PDD012088,DP08945,DNA002_R030,2024-06-08,2024-06-13,10000000
PDD012089,DP08946,BTE001_R019,2024-06-08,2024-06-10,3000000
PDD012090,DP08946,PTU002_R031,2024-06-08,2024-06-09,2200000
PDD012091,DP08947,KTM002_R013,2024-06-08,2024-06-09,2800000
PDD012092,DP08948,HNO005_R007,2024-06-08,2024-06-11,3600000
PDD012093,DP08949,VPC001_R002,2024-06-08,2024-06-11,3600000
PDD012094,DP08950,DLK001_R015,2024-06-08,2024-06-09,1800000
PDD012095,DP08951,TVH001_R005,2024-06-08,2024-06-13,6000000
PDD012096,DP08952,LCA001_R002,2024-06-08,2024-06-13,6000000
PDD012097,DP08952,LCH001_R015,2024-06-08,2024-06-11,7200000
PDD012098,DP08953,HNA002_R016,2024-06-08,2024-06-13,8500000
PDD012099,DP08954,BRV003_R003,2024-06-08,2024-06-12,4800000
PDD012100,DP08955,HUG001_R001,2024-06-08,2024-06-13,6000000
