MaSuDungDichVu,MaDichVu,MaPhongDuocDat,ThoiGian,SoLuong,ThanhTien
SDV029672,SVC007,PDD011979,2024-06-06,1,200000
SDV029673,SVC007,PDD011985,2024-06-06,3,600000
SDV029674,SVC013,PDD011938,2024-06-06,3,450000
SDV029675,SVC022,PDD011939,2024-06-06,3,0
SDV029676,SVC004,PDD011938,2024-06-06,2,2400000
SDV029677,SVC013,PDD011939,2024-06-06,1,150000
SDV029678,SVC005,PDD011930,2024-06-06,2,1600000
SDV029679,SVC008,PDD011907,2024-06-06,3,0
SDV029680,SVC014,PDD011988,2024-06-06,2,6000000
SDV029681,SVC010,PDD011938,2024-06-06,2,400000
SDV029682,SVC009,PDD011998,2024-06-06,3,0
SDV029683,SVC021,PDD011967,2024-06-06,2,0
SDV029684,SVC013,PDD011998,2024-06-06,1,150000
SDV029685,SVC017,PDD011998,2024-06-06,3,1500000
SDV029686,SVC014,PDD011940,2024-06-06,1,3000000
SDV029687,SVC025,PDD011938,2024-06-06,1,250000
SDV029688,SVC009,PDD011979,2024-06-06,2,0
SDV029689,SVC011,PDD011978,2024-06-06,3,1050000
SDV029690,SVC015,PDD011929,2024-06-06,3,0
SDV029691,SVC006,PDD011961,2024-06-06,1,300000
SDV029692,SVC021,PDD011913,2024-06-06,2,0
SDV029693,SVC018,PDD011919,2024-06-06,1,2000000
SDV029694,SVC021,PDD011966,2024-06-06,1,0
SDV029695,SVC025,PDD011994,2024-06-06,3,750000
SDV029696,SVC020,PDD011994,2024-06-06,2,0
SDV029697,SVC020,PDD011949,2024-06-06,2,0
SDV029698,SVC008,PDD011972,2024-06-06,2,0
SDV029699,SVC021,PDD011994,2024-06-06,3,0
SDV029700,SVC023,PDD011988,2024-06-06,1,300000
SDV029701,SVC012,PDD011919,2024-06-06,2,1000000
SDV029702,SVC020,PDD011987,2024-06-06,2,0
SDV029703,SVC019,PDD011971,2024-06-06,2,200000
SDV029704,SVC004,PDD011980,2024-06-06,1,1200000
SDV029705,SVC016,PDD011981,2024-06-06,2,40000
SDV029706,SVC008,PDD011999,2024-06-06,3,0
SDV029707,SVC002,PDD011981,2024-06-06,1,120000
SDV029708,SVC003,PDD011984,2024-06-06,1,0
SDV029709,SVC015,PDD011952,2024-06-06,1,0
SDV029710,SVC024,PDD011912,2024-06-06,2,200000
SDV029711,SVC010,PDD011970,2024-06-06,1,200000
SDV029712,SVC002,PDD011994,2024-06-06,2,240000
SDV029713,SVC018,PDD011936,2024-06-06,3,6000000
SDV029714,SVC025,PDD011961,2024-06-06,3,750000
SDV029715,SVC008,PDD011914,2024-06-06,1,0
SDV029716,SVC006,PDD011914,2024-06-06,2,600000
SDV029717,SVC019,PDD011961,2024-06-06,3,300000
SDV029718,SVC019,PDD011996,2024-06-06,2,200000
SDV029719,SVC020,PDD011915,2024-06-06,1,0
SDV029720,SVC001,PDD011974,2024-06-06,3,900000
SDV029721,SVC004,PDD011996,2024-06-06,1,1200000
SDV029722,SVC021,PDD011985,2024-06-06,3,0
SDV029723,SVC013,PDD011916,2024-06-06,1,150000
SDV029724,SVC003,PDD011995,2024-06-06,3,0
SDV029725,SVC019,PDD011953,2024-06-06,3,300000
SDV029726,SVC022,PDD011964,2024-06-06,3,0
SDV029727,SVC003,PDD011988,2024-06-06,2,0
SDV029728,SVC019,PDD011964,2024-06-06,3,300000
SDV029729,SVC016,PDD011916,2024-06-06,3,60000
SDV029730,SVC022,PDD011949,2024-06-06,2,0
SDV029731,SVC022,PDD011715,2024-06-06,2,0
SDV029732,SVC021,PDD011836,2024-06-06,3,0
SDV029733,SVC018,PDD011805,2024-06-06,2,4000000
SDV029734,SVC005,PDD011805,2024-06-06,1,800000
SDV029735,SVC004,PDD011805,2024-06-06,1,1200000
SDV029736,SVC001,PDD011807,2024-06-06,1,300000
SDV029737,SVC023,PDD011809,2024-06-06,2,600000
SDV029738,SVC003,PDD011811,2024-06-06,2,0
SDV029739,SVC005,PDD011812,2024-06-06,3,2400000
SDV029740,SVC008,PDD011812,2024-06-06,1,0
SDV029741,SVC017,PDD011821,2024-06-06,2,1000000
SDV029742,SVC005,PDD011823,2024-06-06,1,800000
SDV029743,SVC025,PDD011824,2024-06-06,1,250000
SDV029744,SVC015,PDD011803,2024-06-06,1,0
SDV029745,SVC013,PDD011828,2024-06-06,2,300000
SDV029746,SVC016,PDD011831,2024-06-06,3,60000
SDV029747,SVC015,PDD011833,2024-06-06,1,0
SDV029748,SVC006,PDD011833,2024-06-06,2,600000
SDV029749,SVC007,PDD012000,2024-06-06,3,600000
SDV029750,SVC002,PDD011837,2024-06-06,1,120000
SDV029751,SVC009,PDD011845,2024-06-06,3,0
SDV029752,SVC012,PDD011847,2024-06-06,3,1500000
SDV029753,SVC019,PDD011847,2024-06-06,2,200000
SDV029754,SVC006,PDD011855,2024-06-06,2,600000
SDV029755,SVC019,PDD011855,2024-06-06,1,100000
SDV029756,SVC022,PDD011859,2024-06-06,1,0
SDV029757,SVC020,PDD011831,2024-06-06,1,0
SDV029758,SVC004,PDD011803,2024-06-06,2,2400000
SDV029759,SVC011,PDD011801,2024-06-06,1,350000
SDV029760,SVC002,PDD011800,2024-06-06,2,240000
SDV029761,SVC007,PDD011641,2024-06-06,3,600000
SDV029762,SVC009,PDD011641,2024-06-06,3,0
SDV029763,SVC003,PDD011680,2024-06-06,2,0
SDV029764,SVC001,PDD011680,2024-06-06,1,300000
SDV029765,SVC019,PDD011683,2024-06-06,2,200000
SDV029766,SVC016,PDD011695,2024-06-06,3,60000
SDV029767,SVC002,PDD011695,2024-06-06,1,120000
SDV029768,SVC012,PDD011695,2024-06-06,1,500000
SDV029769,SVC023,PDD011714,2024-06-06,2,600000
SDV029770,SVC012,PDD011715,2024-06-06,3,1500000
SDV029771,SVC004,PDD011734,2024-06-06,1,1200000
SDV029772,SVC017,PDD011734,2024-06-06,1,500000
SDV029773,SVC022,PDD011739,2024-06-06,3,0
SDV029774,SVC022,PDD011740,2024-06-06,1,0
SDV029775,SVC010,PDD011744,2024-06-06,3,600000
SDV029776,SVC018,PDD011744,2024-06-06,2,4000000
SDV029777,SVC022,PDD011746,2024-06-06,2,0
SDV029778,SVC015,PDD011746,2024-06-06,1,0
SDV029779,SVC003,PDD011749,2024-06-06,1,0
SDV029780,SVC025,PDD011758,2024-06-06,2,500000
SDV029781,SVC016,PDD011761,2024-06-06,2,40000
SDV029782,SVC025,PDD011761,2024-06-06,1,250000
SDV029783,SVC001,PDD011771,2024-06-06,1,300000
SDV029784,SVC011,PDD011775,2024-06-06,1,350000
SDV029785,SVC014,PDD011791,2024-06-06,1,3000000
SDV029786,SVC006,PDD011862,2024-06-06,1,300000
SDV029787,SVC020,PDD011862,2024-06-06,2,0
SDV029788,SVC017,PDD011969,2024-06-06,1,500000
SDV029789,SVC009,PDD012009,2024-06-06,1,0
SDV029790,SVC020,PDD011873,2024-06-06,1,0
SDV029791,SVC018,PDD011882,2024-06-06,1,2000000
SDV029792,SVC006,PDD011887,2024-06-06,1,300000
SDV029793,SVC023,PDD011873,2024-06-06,3,900000
SDV029794,SVC002,PDD012005,2024-06-06,2,240000
SDV029795,SVC016,PDD011876,2024-06-06,2,40000
SDV029796,SVC021,PDD012010,2024-06-06,2,0
SDV029797,SVC003,PDD011886,2024-06-06,3,0
SDV029798,SVC005,PDD011886,2024-06-06,3,2400000
SDV029799,SVC002,PDD011873,2024-06-06,1,120000
SDV029800,SVC023,PDD011886,2024-06-06,3,900000
SDV029801,SVC020,PDD011878,2024-06-06,2,0
SDV029802,SVC001,PDD011880,2024-06-06,1,300000
SDV029803,SVC016,PDD012006,2024-06-06,1,20000
SDV029804,SVC002,PDD012006,2024-06-06,3,360000
SDV029805,SVC022,PDD011885,2024-06-06,3,0
SDV029806,SVC010,PDD011882,2024-06-06,2,400000
SDV029807,SVC007,PDD012006,2024-06-06,2,400000
SDV029808,SVC017,PDD012009,2024-06-06,1,500000
SDV029809,SVC017,PDD012008,2024-06-06,1,500000
SDV029810,SVC009,PDD012009,2024-06-06,3,0
SDV029811,SVC018,PDD011887,2024-06-06,2,4000000
SDV029812,SVC012,PDD012006,2024-06-06,3,1500000
SDV029813,SVC006,PDD011869,2024-06-06,2,600000
SDV029814,SVC011,PDD012003,2024-06-06,2,700000
SDV029815,SVC019,PDD011895,2024-06-06,3,300000
SDV029816,SVC005,PDD011895,2024-06-06,3,2400000
SDV029817,SVC018,PDD011895,2024-06-06,3,6000000
SDV029818,SVC005,PDD012001,2024-06-06,3,2400000
SDV029819,SVC012,PDD011870,2024-06-06,2,1000000
SDV029820,SVC023,PDD011888,2024-06-06,2,600000
SDV029821,SVC023,PDD012001,2024-06-06,1,300000
SDV029822,SVC021,PDD012000,2024-06-06,2,0
SDV029823,SVC024,PDD011865,2024-06-06,1,100000
SDV029824,SVC005,PDD011897,2024-06-06,2,1600000
SDV029825,SVC009,PDD012056,2024-06-07,1,0
SDV029826,SVC004,PDD011975,2024-06-07,1,1200000
SDV029827,SVC008,PDD012000,2024-06-07,3,0
SDV029828,SVC003,PDD011969,2024-06-07,3,0
SDV029829,SVC013,PDD012056,2024-06-07,3,450000
SDV029830,SVC010,PDD011979,2024-06-07,2,400000
SDV029831,SVC009,PDD011997,2024-06-07,3,0
SDV029832,SVC013,PDD012067,2024-06-07,1,150000
SDV029833,SVC002,PDD012061,2024-06-07,2,240000
SDV029834,SVC003,PDD011996,2024-06-07,2,0
SDV029835,SVC018,PDD012004,2024-06-07,1,2000000
SDV029836,SVC004,PDD012057,2024-06-07,3,3600000
SDV029837,SVC017,PDD012057,2024-06-07,1,500000
SDV029838,SVC015,PDD012004,2024-06-07,1,0
SDV029839,SVC019,PDD011979,2024-06-07,1,100000
SDV029840,SVC025,PDD012057,2024-06-07,2,500000
SDV029841,SVC010,PDD012004,2024-06-07,1,200000
SDV029842,SVC015,PDD011978,2024-06-07,3,0
SDV029843,SVC005,PDD011996,2024-06-07,3,2400000
SDV029844,SVC009,PDD012057,2024-06-07,3,0
SDV029845,SVC007,PDD012016,2024-06-07,1,200000
SDV029846,SVC019,PDD011979,2024-06-07,3,300000
SDV029847,SVC010,PDD012012,2024-06-07,3,600000
SDV029848,SVC018,PDD012030,2024-06-07,3,6000000
SDV029849,SVC003,PDD012026,2024-06-07,3,0
SDV029850,SVC020,PDD012014,2024-06-07,1,0
SDV029851,SVC017,PDD012024,2024-06-07,1,500000
SDV029852,SVC012,PDD012023,2024-06-07,3,1500000
SDV029853,SVC005,PDD012015,2024-06-07,3,2400000
SDV029854,SVC023,PDD011993,2024-06-07,1,300000
SDV029855,SVC003,PDD012023,2024-06-07,3,0
SDV029856,SVC004,PDD011987,2024-06-07,3,3600000
SDV029857,SVC015,PDD012020,2024-06-07,2,0
SDV029858,SVC011,PDD012020,2024-06-07,1,350000
SDV029859,SVC015,PDD011987,2024-06-07,2,0
SDV029860,SVC004,PDD011993,2024-06-07,2,2400000
SDV029861,SVC020,PDD012018,2024-06-07,3,0
SDV029862,SVC014,PDD011992,2024-06-07,2,6000000
SDV029863,SVC013,PDD012016,2024-06-07,3,450000
SDV029864,SVC005,PDD012030,2024-06-07,3,2400000
SDV029865,SVC012,PDD011994,2024-06-07,1,500000
SDV029866,SVC022,PDD012031,2024-06-07,2,0
SDV029867,SVC024,PDD011987,2024-06-07,2,200000
SDV029868,SVC004,PDD011983,2024-06-07,1,1200000
SDV029869,SVC008,PDD012017,2024-06-07,3,0
SDV029870,SVC011,PDD012052,2024-06-07,1,350000
SDV029871,SVC001,PDD012049,2024-06-07,2,600000
SDV029872,SVC016,PDD012046,2024-06-07,1,20000
SDV029873,SVC023,PDD012010,2024-06-07,2,600000
SDV029874,SVC008,PDD012045,2024-06-07,3,0
SDV029875,SVC024,PDD012044,2024-06-07,3,300000
SDV029876,SVC007,PDD011995,2024-06-07,2,400000
SDV029877,SVC021,PDD012044,2024-06-07,2,0
SDV029878,SVC009,PDD012044,2024-06-07,2,0
SDV029879,SVC009,PDD012040,2024-06-07,3,0
SDV029880,SVC003,PDD012037,2024-06-07,2,0
SDV029881,SVC004,PDD012037,2024-06-07,2,2400000
SDV029882,SVC021,PDD011985,2024-06-07,1,0
SDV029883,SVC014,PDD012035,2024-06-07,1,3000000
SDV029884,SVC022,PDD012033,2024-06-07,1,0
SDV029885,SVC004,PDD012033,2024-06-07,1,1200000
SDV029886,SVC024,PDD012010,2024-06-07,3,300000
SDV029887,SVC011,PDD012000,2024-06-07,2,700000
SDV029888,SVC024,PDD011845,2024-06-07,1,100000
SDV029889,SVC001,PDD011968,2024-06-07,2,600000
SDV029890,SVC009,PDD011862,2024-06-07,2,0
SDV029891,SVC015,PDD011947,2024-06-07,1,0
SDV029892,SVC012,PDD011742,2024-06-07,1,500000
SDV029893,SVC025,PDD011739,2024-06-07,3,750000
SDV029894,SVC025,PDD011843,2024-06-07,1,250000
SDV029895,SVC011,PDD011941,2024-06-07,3,1050000
SDV029896,SVC015,PDD011738,2024-06-07,2,0
SDV029897,SVC010,PDD011892,2024-06-07,2,400000
SDV029898,SVC015,PDD011895,2024-06-07,2,0
SDV029899,SVC024,PDD011933,2024-06-07,3,300000
SDV029900,SVC020,PDD011845,2024-06-07,1,0
SDV029901,SVC024,PDD011847,2024-06-07,1,100000
SDV029902,SVC022,PDD011729,2024-06-07,3,0
SDV029903,SVC012,PDD011930,2024-06-07,2,1000000
SDV029904,SVC004,PDD011902,2024-06-07,1,1200000
SDV029905,SVC014,PDD011902,2024-06-07,1,3000000
SDV029906,SVC004,PDD011722,2024-06-07,2,2400000
SDV029907,SVC019,PDD011903,2024-06-07,3,300000
SDV029908,SVC009,PDD011868,2024-06-07,3,0
SDV029909,SVC004,PDD011862,2024-06-07,1,1200000
SDV029910,SVC010,PDD011855,2024-06-07,2,400000
SDV029911,SVC011,PDD011926,2024-06-07,3,1050000
SDV029912,SVC017,PDD011926,2024-06-07,1,500000
SDV029913,SVC025,PDD011925,2024-06-07,2,500000
SDV029914,SVC003,PDD011925,2024-06-07,2,0
SDV029915,SVC018,PDD011911,2024-06-07,2,4000000
SDV029916,SVC025,PDD011916,2024-06-07,1,250000
SDV029917,SVC019,PDD011916,2024-06-07,3,300000
SDV029918,SVC025,PDD011916,2024-06-07,2,500000
SDV029919,SVC001,PDD011761,2024-06-07,2,600000
SDV029920,SVC015,PDD011950,2024-06-07,3,0
SDV029921,SVC002,PDD011744,2024-06-07,3,360000
SDV029922,SVC021,PDD011862,2024-06-07,2,0
SDV029923,SVC003,PDD011876,2024-06-07,3,0
SDV029924,SVC010,PDD011814,2024-06-07,3,600000
SDV029925,SVC015,PDD011809,2024-06-07,3,0
SDV029926,SVC004,PDD011967,2024-06-07,3,3600000
SDV029927,SVC019,PDD011876,2024-06-07,2,200000
SDV029928,SVC013,PDD011876,2024-06-07,2,300000
SDV029929,SVC019,PDD011830,2024-06-07,3,300000
SDV029930,SVC005,PDD011967,2024-06-07,3,2400000
SDV029931,SVC016,PDD011828,2024-06-07,1,20000
SDV029932,SVC017,PDD011820,2024-06-07,2,1000000
SDV029933,SVC024,PDD011831,2024-06-07,2,200000
SDV029934,SVC021,PDD011969,2024-06-07,1,0
SDV029935,SVC012,PDD011966,2024-06-07,3,1500000
SDV029936,SVC015,PDD011831,2024-06-07,3,0
SDV029937,SVC010,PDD011823,2024-06-07,1,200000
SDV029938,SVC023,PDD011837,2024-06-07,2,600000
SDV029939,SVC012,PDD011956,2024-06-07,2,1000000
SDV029940,SVC013,PDD011887,2024-06-07,1,150000
SDV029941,SVC010,PDD011888,2024-06-07,1,200000
SDV029942,SVC014,PDD011954,2024-06-07,1,3000000
SDV029943,SVC002,PDD011951,2024-06-07,3,360000
SDV029944,SVC018,PDD011807,2024-06-07,1,2000000
SDV029945,SVC017,PDD011951,2024-06-07,3,1500000
SDV029946,SVC005,PDD011968,2024-06-07,1,800000
SDV029947,SVC005,PDD011887,2024-06-07,2,1600000
SDV029948,SVC024,PDD011828,2024-06-07,3,300000
SDV029949,SVC012,PDD012086,2024-06-08,2,1000000
SDV029950,SVC015,PDD012075,2024-06-08,1,0
SDV029951,SVC023,PDD012074,2024-06-08,3,900000
SDV029952,SVC012,PDD012079,2024-06-08,1,500000
SDV029953,SVC003,PDD012077,2024-06-08,2,0
SDV029954,SVC014,PDD012077,2024-06-08,1,3000000
SDV029955,SVC008,PDD012077,2024-06-08,3,0
SDV029956,SVC018,PDD012082,2024-06-08,1,2000000
SDV029957,SVC024,PDD012086,2024-06-08,1,100000
SDV029958,SVC025,PDD012078,2024-06-08,1,250000
SDV029959,SVC019,PDD012086,2024-06-08,3,300000
SDV029960,SVC020,PDD012078,2024-06-08,1,0
SDV029961,SVC005,PDD012082,2024-06-08,3,2400000
SDV029962,SVC025,PDD012079,2024-06-08,3,750000
SDV029963,SVC020,PDD012079,2024-06-08,3,0
SDV029964,SVC022,PDD012086,2024-06-08,2,0
SDV029965,SVC018,PDD012078,2024-06-08,3,6000000
SDV029966,SVC003,PDD012061,2024-06-08,3,0
SDV029967,SVC008,PDD012074,2024-06-08,3,0
SDV029968,SVC020,PDD012041,2024-06-08,1,0
SDV029969,SVC022,PDD011817,2024-06-08,3,0
SDV029970,SVC001,PDD012044,2024-06-08,2,600000
SDV029971,SVC009,PDD012047,2024-06-08,1,0
SDV029972,SVC011,PDD012048,2024-06-08,3,1050000
SDV029973,SVC025,PDD012048,2024-06-08,1,250000
SDV029974,SVC002,PDD011809,2024-06-08,1,120000
SDV029975,SVC014,PDD012051,2024-06-08,1,3000000
SDV029976,SVC007,PDD012052,2024-06-08,3,600000
SDV029977,SVC007,PDD012052,2024-06-08,3,600000
SDV029978,SVC021,PDD012052,2024-06-08,2,0
SDV029979,SVC018,PDD012052,2024-06-08,3,6000000
SDV029980,SVC020,PDD012054,2024-06-08,3,0
SDV029981,SVC025,PDD012055,2024-06-08,1,250000
SDV029982,SVC023,PDD011797,2024-06-08,2,600000
SDV029983,SVC004,PDD012060,2024-06-08,3,3600000
SDV029984,SVC022,PDD012060,2024-06-08,2,0
SDV029985,SVC004,PDD012060,2024-06-08,3,3600000
SDV029986,SVC024,PDD012061,2024-06-08,2,200000
SDV029987,SVC013,PDD012090,2024-06-08,1,150000
SDV029988,SVC008,PDD012065,2024-06-08,3,0
SDV029989,SVC019,PDD012065,2024-06-08,3,300000
SDV029990,SVC020,PDD012067,2024-06-08,3,0
SDV029991,SVC011,PDD012068,2024-06-08,1,350000
SDV029992,SVC007,PDD012069,2024-06-08,3,600000
SDV029993,SVC022,PDD012071,2024-06-08,3,0
SDV029994,SVC007,PDD012072,2024-06-08,1,200000
SDV029995,SVC018,PDD012072,2024-06-08,2,4000000
SDV029996,SVC001,PDD012073,2024-06-08,3,900000
SDV029997,SVC017,PDD012074,2024-06-08,1,500000
SDV029998,SVC009,PDD012090,2024-06-08,3,0
SDV029999,SVC007,PDD012094,2024-06-08,3,600000
SDV030000,SVC005,PDD012090,2024-06-08,1,800000
SDV030001,SVC022,PDD012131,2024-06-08,2,0
SDV030002,SVC008,PDD012130,2024-06-08,3,0
SDV030003,SVC005,PDD012128,2024-06-08,2,1600000
SDV030004,SVC010,PDD012127,2024-06-08,1,200000
SDV030005,SVC022,PDD012126,2024-06-08,3,0
SDV030006,SVC025,PDD012126,2024-06-08,1,250000
SDV030007,SVC012,PDD012126,2024-06-08,3,1500000
SDV030008,SVC018,PDD012131,2024-06-08,2,4000000
SDV030009,SVC001,PDD012126,2024-06-08,1,300000
SDV030010,SVC022,PDD012125,2024-06-08,1,0
SDV030011,SVC013,PDD012125,2024-06-08,2,300000
SDV030012,SVC006,PDD012123,2024-06-08,3,900000
SDV030013,SVC022,PDD012123,2024-06-08,1,0
SDV030014,SVC014,PDD012123,2024-06-08,1,3000000
SDV030015,SVC022,PDD012122,2024-06-08,2,0
SDV030016,SVC009,PDD012119,2024-06-08,3,0
SDV030017,SVC024,PDD012125,2024-06-08,3,300000
SDV030018,SVC003,PDD012118,2024-06-08,2,0
SDV030019,SVC014,PDD012131,2024-06-08,1,3000000
SDV030020,SVC011,PDD012132,2024-06-08,2,700000
SDV030021,SVC012,PDD012143,2024-06-08,1,500000
SDV030022,SVC023,PDD012143,2024-06-08,1,300000
SDV030023,SVC006,PDD012143,2024-06-08,3,900000
SDV030024,SVC025,PDD012142,2024-06-08,2,500000
SDV030025,SVC015,PDD012142,2024-06-08,2,0
SDV030026,SVC002,PDD012141,2024-06-08,2,240000
SDV030027,SVC024,PDD012140,2024-06-08,1,100000
SDV030028,SVC018,PDD012132,2024-06-08,3,6000000
SDV030029,SVC014,PDD012139,2024-06-08,3,9000000
SDV030030,SVC017,PDD012138,2024-06-08,1,500000
SDV030031,SVC010,PDD012138,2024-06-08,2,400000
SDV030032,SVC002,PDD012138,2024-06-08,1,120000
SDV030033,SVC003,PDD012135,2024-06-08,2,0
SDV030034,SVC004,PDD012135,2024-06-08,3,3600000
SDV030035,SVC023,PDD012135,2024-06-08,1,300000
SDV030036,SVC020,PDD012132,2024-06-08,1,0
SDV030037,SVC017,PDD012138,2024-06-08,1,500000
SDV030038,SVC017,PDD012118,2024-06-08,3,1500000
SDV030039,SVC012,PDD012118,2024-06-08,2,1000000
SDV030040,SVC015,PDD012118,2024-06-08,1,0
SDV030041,SVC020,PDD012102,2024-06-08,1,0
SDV030042,SVC009,PDD012101,2024-06-08,1,0
SDV030043,SVC017,PDD012101,2024-06-08,2,1000000
SDV030044,SVC015,PDD012098,2024-06-08,1,0
SDV030045,SVC005,PDD012097,2024-06-08,3,2400000
SDV030046,SVC011,PDD012094,2024-06-08,1,350000
SDV030047,SVC023,PDD012040,2024-06-08,1,300000
SDV030048,SVC022,PDD012102,2024-06-08,1,0
SDV030049,SVC008,PDD012093,2024-06-08,2,0
SDV030050,SVC017,PDD012093,2024-06-08,1,500000
SDV030051,SVC002,PDD012092,2024-06-08,3,360000
SDV030052,SVC008,PDD012092,2024-06-08,2,0
SDV030053,SVC001,PDD012091,2024-06-08,1,300000
SDV030054,SVC013,PDD012091,2024-06-08,1,150000
SDV030055,SVC010,PDD012091,2024-06-08,1,200000
SDV030056,SVC025,PDD012090,2024-06-08,2,500000
SDV030057,SVC009,PDD012093,2024-06-08,2,0
SDV030058,SVC017,PDD012102,2024-06-08,3,1500000
SDV030059,SVC022,PDD012102,2024-06-08,1,0
SDV030060,SVC025,PDD012102,2024-06-08,3,750000
SDV030061,SVC019,PDD012116,2024-06-08,3,300000
SDV030062,SVC012,PDD012114,2024-06-08,1,500000
SDV030063,SVC002,PDD012113,2024-06-08,3,360000
SDV030064,SVC023,PDD012113,2024-06-08,3,900000
SDV030065,SVC020,PDD012112,2024-06-08,1,0
SDV030066,SVC006,PDD012112,2024-06-08,1,300000
SDV030067,SVC009,PDD012111,2024-06-08,1,0
SDV030068,SVC017,PDD012111,2024-06-08,2,1000000
SDV030069,SVC005,PDD012111,2024-06-08,3,2400000
SDV030070,SVC009,PDD012110,2024-06-08,2,0
SDV030071,SVC010,PDD012109,2024-06-08,1,200000
SDV030072,SVC008,PDD012109,2024-06-08,3,0
SDV030073,SVC019,PDD012107,2024-06-08,1,100000
SDV030074,SVC003,PDD012107,2024-06-08,3,0
SDV030075,SVC011,PDD012106,2024-06-08,2,700000
SDV030076,SVC018,PDD012105,2024-06-08,3,6000000
SDV030077,SVC007,PDD012103,2024-06-08,2,400000
SDV030078,SVC022,PDD012090,2024-06-08,1,0
SDV030079,SVC002,PDD012040,2024-06-08,2,240000
SDV030080,SVC018,PDD012074,2024-06-08,2,4000000
SDV030081,SVC009,PDD011914,2024-06-08,1,0
SDV030082,SVC008,PDD011956,2024-06-08,2,0
SDV030083,SVC006,PDD012007,2024-06-08,3,900000
SDV030084,SVC003,PDD011882,2024-06-08,1,0
SDV030085,SVC023,PDD011882,2024-06-08,3,900000
SDV030086,SVC003,PDD011880,2024-06-08,2,0
SDV030087,SVC023,PDD011956,2024-06-08,3,900000
SDV030088,SVC008,PDD011878,2024-06-08,1,0
SDV030089,SVC009,PDD011957,2024-06-08,3,0
SDV030090,SVC022,PDD012010,2024-06-08,1,0
SDV030091,SVC007,PDD011960,2024-06-08,3,600000
SDV030092,SVC015,PDD011978,2024-06-08,3,0
SDV030093,SVC004,PDD011976,2024-06-08,1,1200000
SDV030094,SVC006,PDD012011,2024-06-08,3,900000
SDV030095,SVC013,PDD011885,2024-06-08,1,150000
SDV030096,SVC018,PDD012011,2024-06-08,2,4000000
SDV030097,SVC017,PDD012014,2024-06-08,3,1500000
SDV030098,SVC005,PDD012014,2024-06-08,1,800000
SDV030099,SVC008,PDD012014,2024-06-08,3,0
SDV030100,SVC024,PDD011966,2024-06-08,1,100000
SDV030101,SVC016,PDD011974,2024-06-08,1,20000
SDV030102,SVC004,PDD011972,2024-06-08,1,1200000
SDV030103,SVC013,PDD012016,2024-06-08,1,150000
SDV030104,SVC018,PDD011966,2024-06-08,1,2000000
SDV030105,SVC023,PDD012016,2024-06-08,2,600000
SDV030106,SVC022,PDD012018,2024-06-08,2,0
SDV030107,SVC022,PDD011970,2024-06-08,3,0
SDV030108,SVC010,PDD012019,2024-06-08,1,200000
SDV030109,SVC007,PDD012019,2024-06-08,1,200000
SDV030110,SVC014,PDD012012,2024-06-08,3,9000000
SDV030111,SVC003,PDD012005,2024-06-08,3,0
SDV030112,SVC002,PDD011982,2024-06-08,2,240000
SDV030113,SVC012,PDD011983,2024-06-08,2,1000000
SDV030114,SVC025,PDD011993,2024-06-08,1,250000
SDV030115,SVC001,PDD011926,2024-06-08,1,300000
SDV030116,SVC010,PDD011923,2024-06-08,2,400000
SDV030117,SVC011,PDD011996,2024-06-08,3,1050000
SDV030118,SVC013,PDD011828,2024-06-08,1,150000
SDV030119,SVC002,PDD011914,2024-06-08,1,120000
SDV030120,SVC011,PDD011991,2024-06-08,1,350000
SDV030121,SVC018,PDD011913,2024-06-08,2,4000000
SDV030122,SVC012,PDD011990,2024-06-08,1,500000
SDV030123,SVC021,PDD011990,2024-06-08,1,0
SDV030124,SVC025,PDD011989,2024-06-08,2,500000
SDV030125,SVC009,PDD011907,2024-06-08,1,0
SDV030126,SVC013,PDD011999,2024-06-08,2,300000
SDV030127,SVC023,PDD011999,2024-06-08,3,900000
SDV030128,SVC018,PDD011902,2024-06-08,2,4000000
SDV030129,SVC019,PDD011933,2024-06-08,2,200000
SDV030130,SVC022,PDD011987,2024-06-08,3,0
SDV030131,SVC021,PDD012003,2024-06-08,3,0
SDV030132,SVC008,PDD011935,2024-06-08,2,0
SDV030133,SVC003,PDD012003,2024-06-08,3,0
SDV030134,SVC017,PDD011940,2024-06-08,3,1500000
SDV030135,SVC005,PDD011985,2024-06-08,3,2400000
SDV030136,SVC017,PDD011941,2024-06-08,1,500000
SDV030137,SVC005,PDD011985,2024-06-08,1,800000
SDV030138,SVC024,PDD012003,2024-06-08,2,200000
SDV030139,SVC019,PDD012003,2024-06-08,1,100000
SDV030140,SVC020,PDD011890,2024-06-08,3,0
SDV030141,SVC025,PDD011984,2024-06-08,2,500000
SDV030142,SVC017,PDD012004,2024-06-08,3,1500000
SDV030143,SVC020,PDD012019,2024-06-08,3,0
SDV030144,SVC007,PDD012019,2024-06-08,1,200000
SDV030145,SVC019,PDD011975,2024-06-08,1,100000
SDV030146,SVC004,PDD011926,2024-06-08,2,2400000
SDV030147,SVC008,PDD012028,2024-06-08,1,0
SDV030148,SVC014,PDD012027,2024-06-08,1,3000000
SDV030149,SVC013,PDD012027,2024-06-08,1,150000
SDV030150,SVC002,PDD012028,2024-06-08,1,120000
SDV030151,SVC023,PDD012028,2024-06-08,2,600000
SDV030152,SVC012,PDD012028,2024-06-08,3,1500000
SDV030153,SVC011,PDD012028,2024-06-08,2,700000
