MaDanhGia,MaPhongDuocDat,ThoiGian,DiemDanhGia,NhanXet
DGPDD004663_2,PDD004663,2024-03-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004665_2,PDD004665,2024-03-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004666_1,PDD004666,2024-03-09,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004757_2,PDD004757,2024-03-09,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004759_2,PDD004759,2024-03-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004676_1,PDD004676,2024-03-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004760_1,PDD004760,2024-03-09,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004772_1,PDD004772,2024-03-09,2,Không hài lòng lắm.
DGPDD004674_1,PDD004674,2024-03-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004771_1,PDD004771,2024-03-09,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004769_1,PDD004769,2024-03-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004621_2,PDD004621,2024-03-10,5,"Rất hài lòng, sẽ quay lại."
DGPDD004900_1,PDD004900,2024-03-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004872_2,PDD004872,2024-03-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004855_1,PDD004855,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004674_2,PDD004674,2024-03-10,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004629_1,PDD004629,2024-03-10,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004865_1,PDD004865,2024-03-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004895_1,PDD004895,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004908_1,PDD004908,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004948_1,PDD004948,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004918_1,PDD004918,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005120_1,PDD005120,2024-03-10,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005107_1,PDD005107,2024-03-10,5,Dịch vụ hoàn hảo.
DGPDD005103_1,PDD005103,2024-03-10,5,Dịch vụ hoàn hảo.
DGPDD005082_1,PDD005082,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005072_1,PDD005072,2024-03-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005053_1,PDD005053,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005032_1,PDD005032,2024-03-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005020_1,PDD005020,2024-03-10,5,"Rất hài lòng, sẽ quay lại."
DGPDD005018_1,PDD005018,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005014_1,PDD005014,2024-03-10,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004994_1,PDD004994,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004911_1,PDD004911,2024-03-10,5,Dịch vụ hoàn hảo.
DGPDD004989_1,PDD004989,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004978_1,PDD004978,2024-03-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004973_1,PDD004973,2024-03-10,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004970_1,PDD004970,2024-03-10,5,"Rất hài lòng, sẽ quay lại."
DGPDD004966_1,PDD004966,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004961_1,PDD004961,2024-03-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004959_1,PDD004959,2024-03-10,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004945_1,PDD004945,2024-03-10,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004934_1,PDD004934,2024-03-10,5,"Rất hài lòng, sẽ quay lại."
DGPDD004929_1,PDD004929,2024-03-10,5,Dịch vụ hoàn hảo.
DGPDD004922_1,PDD004922,2024-03-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004920_1,PDD004920,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004988_1,PDD004988,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004679_2,PDD004679,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004774_2,PDD004774,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004741_1,PDD004741,2024-03-10,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004748_1,PDD004748,2024-03-10,5,Tuyệt vời!
DGPDD004831_1,PDD004831,2024-03-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004813_1,PDD004813,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004837_1,PDD004837,2024-03-10,5,"Rất hài lòng, sẽ quay lại."
DGPDD004753_2,PDD004753,2024-03-10,5,Tuyệt vời!
DGPDD004801_1,PDD004801,2024-03-10,5,Dịch vụ hoàn hảo.
DGPDD004739_1,PDD004739,2024-03-10,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD004752_1,PDD004752,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004838_2,PDD004838,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004794_1,PDD004794,2024-03-10,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004784_2,PDD004784,2024-03-10,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004797_2,PDD004797,2024-03-10,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004744_2,PDD004744,2024-03-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004814_1,PDD004814,2024-03-10,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004701_1,PDD004701,2024-03-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004693_2,PDD004693,2024-03-10,5,Dịch vụ hoàn hảo.
DGPDD004796_1,PDD004796,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004782_1,PDD004782,2024-03-10,2,Không hài lòng lắm.
DGPDD004690_2,PDD004690,2024-03-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004717_1,PDD004717,2024-03-10,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD004810_1,PDD004810,2024-03-11,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004951_1,PDD004951,2024-03-11,2,Không hài lòng lắm.
DGPDD005030_1,PDD005030,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005050_1,PDD005050,2024-03-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004947_1,PDD004947,2024-03-11,5,Tuyệt vời!
DGPDD005068_1,PDD005068,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004939_1,PDD004939,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004954_1,PDD004954,2024-03-11,2,Không hài lòng lắm.
DGPDD005071_1,PDD005071,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004935_1,PDD004935,2024-03-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004934_2,PDD004934,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005078_1,PDD005078,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005080_1,PDD005080,2024-03-11,5,Dịch vụ hoàn hảo.
DGPDD004929_2,PDD004929,2024-03-11,5,Tuyệt vời!
DGPDD004944_1,PDD004944,2024-03-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD005029_1,PDD005029,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004802_2,PDD004802,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005025_1,PDD005025,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004987_1,PDD004987,2024-03-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004984_1,PDD004984,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004995_1,PDD004995,2024-03-11,5,Dịch vụ hoàn hảo.
DGPDD004981_1,PDD004981,2024-03-11,5,Tuyệt vời!
DGPDD004997_1,PDD004997,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005001_1,PDD005001,2024-03-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004978_2,PDD004978,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004749_2,PDD004749,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005011_1,PDD005011,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004792_1,PDD004792,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004969_1,PDD004969,2024-03-11,5,Dịch vụ hoàn hảo.
DGPDD004801_2,PDD004801,2024-03-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004966_2,PDD004966,2024-03-11,5,Tuyệt vời!
DGPDD005014_2,PDD005014,2024-03-11,5,"Rất hài lòng, sẽ quay lại."
DGPDD004965_1,PDD004965,2024-03-11,5,"Rất hài lòng, sẽ quay lại."
DGPDD005019_1,PDD005019,2024-03-11,5,"Rất hài lòng, sẽ quay lại."
DGPDD004756_1,PDD004756,2024-03-11,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005023_1,PDD005023,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004585_2,PDD004585,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004956_1,PDD004956,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004928_1,PDD004928,2024-03-11,5,"Rất hài lòng, sẽ quay lại."
DGPDD004992_1,PDD004992,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004818_1,PDD004818,2024-03-11,5,Tuyệt vời!
DGPDD004729_2,PDD004729,2024-03-11,5,Tuyệt vời!
DGPDD004828_1,PDD004828,2024-03-11,5,Dịch vụ hoàn hảo.
DGPDD005170_1,PDD005170,2024-03-11,5,Tuyệt vời!
DGPDD004893_1,PDD004893,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005103_2,PDD005103,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004926_1,PDD004926,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005163_1,PDD005163,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004775_1,PDD004775,2024-03-11,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004890_1,PDD004890,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004889_1,PDD004889,2024-03-11,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD005120_2,PDD005120,2024-03-11,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD004723_1,PDD004723,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004722_1,PDD004722,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005129_1,PDD005129,2024-03-11,5,Dịch vụ hoàn hảo.
DGPDD004839_1,PDD004839,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005162_1,PDD005162,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004876_1,PDD004876,2024-03-11,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004895_2,PDD004895,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004867_1,PDD004867,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004896_1,PDD004896,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004824_1,PDD004824,2024-03-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004919_1,PDD004919,2024-03-11,5,Dịch vụ hoàn hảo.
DGPDD004820_1,PDD004820,2024-03-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004847_1,PDD004847,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004916_1,PDD004916,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005095_1,PDD005095,2024-03-11,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004912_1,PDD004912,2024-03-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004822_1,PDD004822,2024-03-11,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004762_1,PDD004762,2024-03-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004904_1,PDD004904,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004659_2,PDD004659,2024-03-11,5,"Rất hài lòng, sẽ quay lại."
DGPDD005099_1,PDD005099,2024-03-11,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004825_2,PDD004825,2024-03-11,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD004900_2,PDD004900,2024-03-11,5,"Rất hài lòng, sẽ quay lại."
DGPDD004826_1,PDD004826,2024-03-11,5,Tuyệt vời!
DGPDD004858_1,PDD004858,2024-03-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004794_2,PDD004794,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005248_1,PDD005248,2024-03-12,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD005177_1,PDD005177,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005194_1,PDD005194,2024-03-12,2,Không hài lòng lắm.
DGPDD005007_1,PDD005007,2024-03-12,5,"Rất hài lòng, sẽ quay lại."
DGPDD005174_1,PDD005174,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005160_1,PDD005160,2024-03-12,1,Trải nghiệm tồi tệ.
DGPDD004998_1,PDD004998,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005106_1,PDD005106,2024-03-12,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005146_1,PDD005146,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005132_1,PDD005132,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005131_1,PDD005131,2024-03-12,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005118_1,PDD005118,2024-03-12,5,"Rất hài lòng, sẽ quay lại."
DGPDD005025_2,PDD005025,2024-03-12,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005031_1,PDD005031,2024-03-12,5,Tuyệt vời!
DGPDD005045_1,PDD005045,2024-03-12,2,Không hài lòng lắm.
DGPDD005102_1,PDD005102,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005052_1,PDD005052,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005057_1,PDD005057,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005062_1,PDD005062,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005070_1,PDD005070,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004783_1,PDD004783,2024-03-12,2,Không hài lòng lắm.
DGPDD005086_1,PDD005086,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005154_1,PDD005154,2024-03-12,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004849_1,PDD004849,2024-03-12,2,Không hài lòng lắm.
DGPDD005038_1,PDD005038,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004796_2,PDD004796,2024-03-12,5,Dịch vụ hoàn hảo.
DGPDD004837_2,PDD004837,2024-03-12,5,"Rất hài lòng, sẽ quay lại."
DGPDD004964_1,PDD004964,2024-03-12,5,"Rất hài lòng, sẽ quay lại."
DGPDD004961_2,PDD004961,2024-03-12,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004960_1,PDD004960,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004806_1,PDD004806,2024-03-12,1,"Rất tệ, không quay lại."
DGPDD004956_2,PDD004956,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004876_2,PDD004876,2024-03-12,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004965_2,PDD004965,2024-03-12,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004954_2,PDD004954,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004888_1,PDD004888,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004811_1,PDD004811,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004990_1,PDD004990,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004828_2,PDD004828,2024-03-12,5,"Rất hài lòng, sẽ quay lại."
DGPDD004917_1,PDD004917,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004818_2,PDD004818,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004930_1,PDD004930,2024-03-12,5,"Rất hài lòng, sẽ quay lại."
DGPDD004877_1,PDD004877,2024-03-12,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004969_2,PDD004969,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004952_1,PDD004952,2024-03-12,2,Không hài lòng lắm.
DGPDD004871_1,PDD004871,2024-03-12,5,"Rất hài lòng, sẽ quay lại."
DGPDD004986_1,PDD004986,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004982_1,PDD004982,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004980_1,PDD004980,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004970_2,PDD004970,2024-03-12,5,Tuyệt vời!
DGPDD004855_2,PDD004855,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004936_1,PDD004936,2024-03-12,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD004868_1,PDD004868,2024-03-12,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004840_1,PDD004840,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004701_2,PDD004701,2024-03-12,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005260_1,PDD005260,2024-03-13,2,Không hài lòng lắm.
DGPDD005286_1,PDD005286,2024-03-13,5,Dịch vụ hoàn hảo.
DGPDD005111_1,PDD005111,2024-03-13,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD005108_1,PDD005108,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004762_2,PDD004762,2024-03-13,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD005227_1,PDD005227,2024-03-13,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005104_1,PDD005104,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004871_2,PDD004871,2024-03-13,5,Dịch vụ hoàn hảo.
DGPDD005099_2,PDD005099,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004903_1,PDD004903,2024-03-13,5,"Rất hài lòng, sẽ quay lại."
DGPDD005324_1,PDD005324,2024-03-13,5,Tuyệt vời!
DGPDD005334_1,PDD005334,2024-03-13,2,Không hài lòng lắm.
DGPDD005224_1,PDD005224,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004868_2,PDD004868,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005213_1,PDD005213,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004930_2,PDD004930,2024-03-13,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005076_1,PDD005076,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005075_1,PDD005075,2024-03-13,5,Dịch vụ hoàn hảo.
DGPDD005319_1,PDD005319,2024-03-13,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005115_1,PDD005115,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005118_2,PDD005118,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005119_1,PDD005119,2024-03-13,5,"Rất hài lòng, sẽ quay lại."
DGPDD005294_1,PDD005294,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005190_1,PDD005190,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004846_1,PDD004846,2024-03-13,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005147_1,PDD005147,2024-03-13,5,Dịch vụ hoàn hảo.
DGPDD005146_2,PDD005146,2024-03-13,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD005245_1,PDD005245,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004932_1,PDD004932,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005136_1,PDD005136,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005135_1,PDD005135,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005298_1,PDD005298,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005239_1,PDD005239,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005131_2,PDD005131,2024-03-13,5,"Rất hài lòng, sẽ quay lại."
DGPDD004878_1,PDD004878,2024-03-13,1,"Rất tệ, không quay lại."
DGPDD005130_1,PDD005130,2024-03-13,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005304_1,PDD005304,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005123_1,PDD005123,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004890_2,PDD004890,2024-03-13,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004891_1,PDD004891,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005234_1,PDD005234,2024-03-13,5,"Rất hài lòng, sẽ quay lại."
DGPDD005219_1,PDD005219,2024-03-13,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD004937_1,PDD004937,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004941_1,PDD004941,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005004_1,PDD005004,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004756_2,PDD004756,2024-03-13,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004944_2,PDD004944,2024-03-13,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005009_1,PDD005009,2024-03-13,3,"Phục vụ trung bình, giá hợp lý."
DGPDD005049_1,PDD005049,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005010_1,PDD005010,2024-03-13,5,Dịch vụ hoàn hảo.
DGPDD004950_1,PDD004950,2024-03-13,5,"Rất hài lòng, sẽ quay lại."
DGPDD005017_1,PDD005017,2024-03-13,2,Không hài lòng lắm.
DGPDD005021_1,PDD005021,2024-03-13,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004955_1,PDD004955,2024-03-13,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD005028_1,PDD005028,2024-03-13,5,Tuyệt vời!
DGPDD005070_2,PDD005070,2024-03-13,5,Tuyệt vời!
DGPDD005041_1,PDD005041,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD004849_2,PDD004849,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005062_2,PDD005062,2024-03-13,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD005003_1,PDD005003,2024-03-13,5,Dịch vụ hoàn hảo.
DGPDD004951_2,PDD004951,2024-03-13,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD004938_1,PDD004938,2024-03-13,3,"Phục vụ trung bình, giá hợp lý."
DGPDD004979_1,PDD004979,2024-03-13,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004992_2,PDD004992,2024-03-13,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005000_1,PDD005000,2024-03-13,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD005283_1,PDD005283,2024-03-14,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD005228_1,PDD005228,2024-03-14,5,Tuyệt vời!
DGPDD005157_1,PDD005157,2024-03-14,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005016_1,PDD005016,2024-03-14,5,"Rất hài lòng, sẽ quay lại."
DGPDD005290_1,PDD005290,2024-03-14,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD004980_2,PDD004980,2024-03-14,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005151_1,PDD005151,2024-03-14,5,Dịch vụ hoàn hảo.
DGPDD004977_1,PDD004977,2024-03-14,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005220_1,PDD005220,2024-03-14,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005223_1,PDD005223,2024-03-14,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD005221_1,PDD005221,2024-03-14,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005144_1,PDD005144,2024-03-14,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005214_1,PDD005214,2024-03-14,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD005142_1,PDD005142,2024-03-14,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD005296_1,PDD005296,2024-03-14,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005015_1,PDD005015,2024-03-14,5,Dịch vụ hoàn hảo.
DGPDD005161_1,PDD005161,2024-03-14,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005232_1,PDD005232,2024-03-14,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD005246_1,PDD005246,2024-03-14,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD005249_1,PDD005249,2024-03-14,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD005235_1,PDD005235,2024-03-14,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005234_2,PDD005234,2024-03-14,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005250_1,PDD005250,2024-03-14,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD005186_1,PDD005186,2024-03-14,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD005185_1,PDD005185,2024-03-14,4,"Tốt, nhưng còn vài điểm cần cải thiện."
