MaPhong,MaKhachSan,LoaiPhong,GiaNiemYet,TrangThai
BNH002_R010,BNH002,Standard Room,1200000,Đang sử dụng
BNH002_R011,BNH002,Standard Room,1200000,Đang dọn
BNH002_R012,BNH002,Deluxe Room,1800000,Đang dọn
BNH002_R013,BNH002,Deluxe Room,1800000,Đang sử dụng
BNH002_R014,BNH002,Deluxe Room,1800000,Đang dọn
BNH002_R015,BNH002,Deluxe Room,1800000,Đang dọn
BNH002_R016,BNH002,Deluxe Room,1800000,Đang dọn
BNH002_R017,BNH002,Deluxe Room,1800000,Đang dọn
BNH002_R018,BNH002,Deluxe Room,1800000,Trống
BNH002_R019,BNH002,Deluxe Room,1800000,Đang dọn
BNH002_R020,BNH002,Superior Room,1500000,Trống
BNH002_R021,BNH002,Superior Room,1500000,Trống
BNH002_R022,BNH002,Superior Room,1500000,Trống
BNH002_R023,BNH002,Superior Room,1500000,Trống
BNH002_R024,BNH002,Superior Room,1500000,Trống
BNH002_R025,BNH002,Executive Room,2400000,Trống
BNH002_R026,BNH002,Executive Room,2400000,Trống
BNH002_R027,BNH002,Junior Suite,2800000,Trống
BNH002_R028,BNH002,Junior Suite,2800000,Đang sử dụng
BNH002_R029,BNH002,Suite,3500000,Trống
BNH002_R030,BNH002,Suite,3500000,Đang sử dụng
BNH002_R031,BNH002,Family Room,2200000,Đang dọn
BNH002_R032,BNH002,Family Room,2200000,Đang sử dụng
BNH002_R033,BNH002,Family Room,2200000,Đang sử dụng
BNH002_R034,BNH002,Connecting Room,2000000,Đang dọn
BNH002_R035,BNH002,Connecting Room,2000000,Trống
BNH002_R036,BNH002,Twin Room,1700000,Trống
BNH002_R037,BNH002,Twin Room,1700000,Đang dọn
BNH002_R038,BNH002,Double Room,1700000,Đang sử dụng
BNH002_R039,BNH002,Double Room,1700000,Đang sử dụng
BNH002_R040,BNH002,Single Room,1000000,Trống
BNH002_R041,BNH002,Studio Room,1300000,Trống
BNH002_R042,BNH002,Accessible Room,1100000,Đang sử dụng
BTE001_R001,BTE001,Standard Room,1200000,Đang dọn
BTE001_R002,BTE001,Standard Room,1200000,Đang sử dụng
BTE001_R003,BTE001,Standard Room,1200000,Đang dọn
BTE001_R004,BTE001,Standard Room,1200000,Đang sử dụng
BTE001_R005,BTE001,Standard Room,1200000,Trống
BTE001_R006,BTE001,Standard Room,1200000,Đang sử dụng
BTE001_R007,BTE001,Standard Room,1200000,Đang dọn
BTE001_R008,BTE001,Standard Room,1200000,Đang sử dụng
BTE001_R009,BTE001,Standard Room,1200000,Trống
BTE001_R010,BTE001,Deluxe Room,1800000,Trống
BTE001_R011,BTE001,Deluxe Room,1800000,Đang sử dụng
BTE001_R012,BTE001,Deluxe Room,1800000,Đang dọn
BTE001_R013,BTE001,Deluxe Room,1800000,Trống
BTE001_R014,BTE001,Deluxe Room,1800000,Trống
BTE001_R015,BTE001,Deluxe Room,1800000,Đang dọn
BTE001_R016,BTE001,Superior Room,1500000,Đang sử dụng
BTE001_R017,BTE001,Superior Room,1500000,Đang sử dụng
BTE001_R018,BTE001,Superior Room,1500000,Đang sử dụng
BTE001_R019,BTE001,Superior Room,1500000,Đang sử dụng
BTE001_R020,BTE001,Executive Room,2400000,Đang sử dụng
BTE001_R021,BTE001,Executive Room,2400000,Trống
BTE001_R022,BTE001,Junior Suite,2800000,Đang dọn
BTE001_R023,BTE001,Junior Suite,2800000,Trống
BTE001_R024,BTE001,Suite,3500000,Đang dọn
BTE001_R025,BTE001,Suite,3500000,Trống
BTE001_R026,BTE001,Family Room,2200000,Trống
BTE001_R027,BTE001,Family Room,2200000,Trống
BTE001_R028,BTE001,Connecting Room,2000000,Trống
BTE001_R029,BTE001,Connecting Room,2000000,Trống
BTE001_R030,BTE001,Twin Room,1700000,Đang dọn
BTE001_R031,BTE001,Double Room,1700000,Đang sử dụng
BTE001_R032,BTE001,Double Room,1700000,Đang sử dụng
BTE001_R033,BTE001,Single Room,1000000,Đang dọn
BTE001_R034,BTE001,Studio Room,1300000,Đang dọn
BTE001_R035,BTE001,Accessible Room,1100000,Đang sử dụng
BTE002_R001,BTE002,Standard Room,1200000,Đang dọn
BTE002_R002,BTE002,Standard Room,1200000,Đang sử dụng
BTE002_R003,BTE002,Standard Room,1200000,Đang dọn
BTE002_R004,BTE002,Standard Room,1200000,Đang dọn
BTE002_R005,BTE002,Standard Room,1200000,Đang sử dụng
BTE002_R006,BTE002,Deluxe Room,1800000,Đang sử dụng
BTE002_R007,BTE002,Deluxe Room,1800000,Trống
BTE002_R008,BTE002,Deluxe Room,1800000,Đang dọn
BTE002_R009,BTE002,Superior Room,1500000,Đang dọn
BTE002_R010,BTE002,Superior Room,1500000,Trống
BTE002_R011,BTE002,Executive Room,2400000,Đang sử dụng
BTE002_R012,BTE002,Junior Suite,2800000,Đang sử dụng
BTE002_R013,BTE002,Suite,3500000,Đang dọn
BTE002_R014,BTE002,Family Room,2200000,Đang sử dụng
BTE002_R015,BTE002,Connecting Room,2000000,Trống
BTE002_R016,BTE002,Twin Room,1700000,Đang sử dụng
BTE002_R017,BTE002,Double Room,1700000,Đang sử dụng
BDH001_R001,BDH001,Standard Room,1200000,Đang dọn
BDH001_R002,BDH001,Standard Room,1200000,Đang dọn
BDH001_R003,BDH001,Standard Room,1200000,Đang dọn
BDH001_R004,BDH001,Standard Room,1200000,Đang sử dụng
BDH001_R005,BDH001,Standard Room,1200000,Đang sử dụng
BDH001_R006,BDH001,Standard Room,1200000,Trống
BDH001_R007,BDH001,Standard Room,1200000,Đang dọn
BDH001_R008,BDH001,Deluxe Room,1800000,Đang sử dụng
BDH001_R009,BDH001,Deluxe Room,1800000,Trống
BDH001_R010,BDH001,Deluxe Room,1800000,Đang dọn
BDH001_R011,BDH001,Deluxe Room,1800000,Đang sử dụng
BDH001_R012,BDH001,Superior Room,1500000,Đang sử dụng
BDH001_R013,BDH001,Superior Room,1500000,Trống
BDH001_R014,BDH001,Superior Room,1500000,Đang sử dụng
BDH001_R015,BDH001,Executive Room,2400000,Đang sử dụng
BDH001_R016,BDH001,Junior Suite,2800000,Đang sử dụng
BDH001_R017,BDH001,Suite,3500000,Đang sử dụng
BDH001_R018,BDH001,Family Room,2200000,Trống
BDH001_R019,BDH001,Family Room,2200000,Đang sử dụng
BDH001_R020,BDH001,Connecting Room,2000000,Trống
BDH001_R021,BDH001,Twin Room,1700000,Trống
BDH001_R022,BDH001,Double Room,1700000,Đang sử dụng
BDH002_R001,BDH002,Standard Room,1200000,Đang sử dụng
BDH002_R002,BDH002,Standard Room,1200000,Trống
BDH002_R003,BDH002,Standard Room,1200000,Đang sử dụng
BDH002_R004,BDH002,Standard Room,1200000,Đang sử dụng
BDH002_R005,BDH002,Standard Room,1200000,Đang sử dụng
BDH002_R006,BDH002,Standard Room,1200000,Trống
BDH002_R007,BDH002,Standard Room,1200000,Đang dọn
BDH002_R008,BDH002,Deluxe Room,1800000,Đang dọn
BDH002_R009,BDH002,Deluxe Room,1800000,Trống
BDH002_R010,BDH002,Deluxe Room,1800000,Trống
BDH002_R011,BDH002,Deluxe Room,1800000,Đang sử dụng
BDH002_R012,BDH002,Deluxe Room,1800000,Trống
BDH002_R013,BDH002,Superior Room,1500000,Đang dọn
BDH002_R014,BDH002,Superior Room,1500000,Đang sử dụng
BDH002_R015,BDH002,Superior Room,1500000,Đang sử dụng
BDH002_R016,BDH002,Executive Room,2400000,Đang dọn
BDH002_R017,BDH002,Junior Suite,2800000,Trống
BDH002_R018,BDH002,Suite,3500000,Trống
BDH002_R019,BDH002,Family Room,2200000,Đang sử dụng
BDH002_R020,BDH002,Family Room,2200000,Đang dọn
BDH002_R021,BDH002,Connecting Room,2000000,Đang sử dụng
BDH002_R022,BDH002,Twin Room,1700000,Đang dọn
BDH002_R023,BDH002,Double Room,1700000,Đang dọn
BDG001_R001,BDG001,Standard Room,1200000,Trống
BDG001_R002,BDG001,Standard Room,1200000,Đang sử dụng
BDG001_R003,BDG001,Standard Room,1200000,Trống
BDG001_R004,BDG001,Standard Room,1200000,Trống
BDG001_R005,BDG001,Standard Room,1200000,Đang sử dụng
BDG001_R006,BDG001,Standard Room,1200000,Đang sử dụng
BDG001_R007,BDG001,Standard Room,1200000,Trống
BDG001_R008,BDG001,Standard Room,1200000,Đang sử dụng
BDG001_R009,BDG001,Standard Room,1200000,Đang dọn
BDG001_R010,BDG001,Standard Room,1200000,Đang dọn
BDG001_R011,BDG001,Standard Room,1200000,Đang dọn
BDG001_R012,BDG001,Deluxe Room,1800000,Đang dọn
BDG001_R013,BDG001,Deluxe Room,1800000,Đang sử dụng
BDG001_R014,BDG001,Deluxe Room,1800000,Trống
BDG001_R015,BDG001,Deluxe Room,1800000,Đang sử dụng
BDG001_R016,BDG001,Deluxe Room,1800000,Đang dọn
BDG001_R017,BDG001,Deluxe Room,1800000,Đang sử dụng
BDG001_R018,BDG001,Deluxe Room,1800000,Đang dọn
BDG001_R019,BDG001,Deluxe Room,1800000,Trống
BDG001_R020,BDG001,Superior Room,1500000,Đang sử dụng
BDG001_R021,BDG001,Superior Room,1500000,Trống
BDG001_R022,BDG001,Superior Room,1500000,Đang dọn
BDG001_R023,BDG001,Superior Room,1500000,Đang dọn
BDG001_R024,BDG001,Superior Room,1500000,Đang sử dụng
BDG001_R025,BDG001,Executive Room,2400000,Đang dọn
BDG001_R026,BDG001,Executive Room,2400000,Đang dọn
BDG001_R027,BDG001,Junior Suite,2800000,Trống
BDG001_R028,BDG001,Junior Suite,2800000,Trống
BDG001_R029,BDG001,Suite,3500000,Đang sử dụng
BDG001_R030,BDG001,Suite,3500000,Đang sử dụng
BDG001_R031,BDG001,Family Room,2200000,Đang dọn
BDG001_R032,BDG001,Family Room,2200000,Đang dọn
BDG001_R033,BDG001,Family Room,2200000,Đang sử dụng
BDG001_R034,BDG001,Connecting Room,2000000,Đang dọn
BDG001_R035,BDG001,Connecting Room,2000000,Đang dọn
BDG001_R036,BDG001,Twin Room,1700000,Trống
BDG001_R037,BDG001,Twin Room,1700000,Đang sử dụng
BDG001_R038,BDG001,Double Room,1700000,Đang dọn
BDG001_R039,BDG001,Double Room,1700000,Đang dọn
BDG001_R040,BDG001,Single Room,1000000,Đang dọn
BDG001_R041,BDG001,Studio Room,1300000,Trống
BDG001_R042,BDG001,Accessible Room,1100000,Trống
BDG002_R001,BDG002,Standard Room,1200000,Đang dọn
BDG002_R002,BDG002,Standard Room,1200000,Đang dọn
BDG002_R003,BDG002,Standard Room,1200000,Trống
BDG002_R004,BDG002,Deluxe Room,1800000,Đang dọn
BDG002_R005,BDG002,Deluxe Room,1800000,Trống
BDG002_R006,BDG002,Superior Room,1500000,Đang dọn
BDG002_R007,BDG002,Family Room,2200000,Trống
BTN001_R001,BTN001,Standard Room,1200000,Trống
BTN001_R002,BTN001,Standard Room,1200000,Đang dọn
BTN001_R003,BTN001,Standard Room,1200000,Đang sử dụng
BTN001_R004,BTN001,Standard Room,1200000,Đang dọn
BTN001_R005,BTN001,Standard Room,1200000,Đang sử dụng
BTN001_R006,BTN001,Deluxe Room,1800000,Đang dọn
BTN001_R007,BTN001,Deluxe Room,1800000,Trống
BTN001_R008,BTN001,Deluxe Room,1800000,Trống
BTN001_R009,BTN001,Superior Room,1500000,Đang dọn
BTN001_R010,BTN001,Superior Room,1500000,Đang sử dụng
BTN001_R011,BTN001,Executive Room,2400000,Trống
BTN001_R012,BTN001,Junior Suite,2800000,Đang dọn
BTN001_R013,BTN001,Suite,3500000,Trống
BTN001_R014,BTN001,Family Room,2200000,Trống
BTN001_R015,BTN001,Connecting Room,2000000,Đang dọn
BTN001_R016,BTN001,Twin Room,1700000,Đang dọn
BTN001_R017,BTN001,Double Room,1700000,Đang sử dụng
BTN002_R001,BTN002,Standard Room,1200000,Đang dọn
BTN002_R002,BTN002,Standard Room,1200000,Đang sử dụng
BTN002_R003,BTN002,Standard Room,1200000,Trống
BTN002_R004,BTN002,Standard Room,1200000,Trống
BTN002_R005,BTN002,Standard Room,1200000,Trống
BTN002_R006,BTN002,Standard Room,1200000,Đang sử dụng
BTN002_R007,BTN002,Standard Room,1200000,Đang dọn
BTN002_R008,BTN002,Standard Room,1200000,Trống
BTN002_R009,BTN002,Deluxe Room,1800000,Đang sử dụng
BTN002_R010,BTN002,Deluxe Room,1800000,Trống
BTN002_R011,BTN002,Deluxe Room,1800000,Đang sử dụng
BTN002_R012,BTN002,Deluxe Room,1800000,Trống
BTN002_R013,BTN002,Deluxe Room,1800000,Đang dọn
BTN002_R014,BTN002,Superior Room,1500000,Đang sử dụng
BTN002_R015,BTN002,Superior Room,1500000,Đang sử dụng
BTN002_R016,BTN002,Superior Room,1500000,Đang dọn
BTN002_R017,BTN002,Executive Room,2400000,Trống
BTN002_R018,BTN002,Junior Suite,2800000,Đang sử dụng
BTN002_R019,BTN002,Suite,3500000,Trống
BTN002_R020,BTN002,Family Room,2200000,Đang dọn
BTN002_R021,BTN002,Family Room,2200000,Trống
BTN002_R022,BTN002,Connecting Room,2000000,Trống
BTN002_R023,BTN002,Twin Room,1700000,Đang sử dụng
BTN002_R024,BTN002,Double Room,1700000,Đang sử dụng
BTN002_R025,BTN002,Single Room,1000000,Trống
BTN002_R026,BTN002,Studio Room,1300000,Trống
BTN002_R027,BTN002,Accessible Room,1100000,Đang sử dụng
CMU001_R001,CMU001,Standard Room,1200000,Trống
CMU001_R002,CMU001,Standard Room,1200000,Trống
CMU001_R003,CMU001,Standard Room,1200000,Trống
CMU001_R004,CMU001,Standard Room,1200000,Đang dọn
CMU001_R005,CMU001,Standard Room,1200000,Đang dọn
CMU001_R006,CMU001,Standard Room,1200000,Đang dọn
CMU001_R007,CMU001,Standard Room,1200000,Đang sử dụng
CMU001_R008,CMU001,Standard Room,1200000,Đang dọn
CMU001_R009,CMU001,Standard Room,1200000,Đang dọn
CMU001_R010,CMU001,Deluxe Room,1800000,Đang sử dụng
CMU001_R011,CMU001,Deluxe Room,1800000,Đang dọn
CMU001_R012,CMU001,Deluxe Room,1800000,Đang dọn
CMU001_R013,CMU001,Deluxe Room,1800000,Trống
CMU001_R014,CMU001,Deluxe Room,1800000,Trống
CMU001_R015,CMU001,Deluxe Room,1800000,Trống
CMU001_R016,CMU001,Superior Room,1500000,Đang sử dụng
CMU001_R017,CMU001,Superior Room,1500000,Đang dọn
CMU001_R018,CMU001,Superior Room,1500000,Đang dọn
CMU001_R019,CMU001,Superior Room,1500000,Đang sử dụng
CMU001_R020,CMU001,Executive Room,2400000,Trống
CMU001_R021,CMU001,Executive Room,2400000,Trống
CMU001_R022,CMU001,Junior Suite,2800000,Trống
CMU001_R023,CMU001,Junior Suite,2800000,Trống
CMU001_R024,CMU001,Suite,3500000,Đang sử dụng
CMU001_R025,CMU001,Suite,3500000,Đang dọn
CMU001_R026,CMU001,Family Room,2200000,Đang sử dụng
CMU001_R027,CMU001,Family Room,2200000,Đang sử dụng
CMU001_R028,CMU001,Connecting Room,2000000,Đang sử dụng
CMU001_R029,CMU001,Connecting Room,2000000,Đang dọn
CMU001_R030,CMU001,Twin Room,1700000,Trống
CMU001_R031,CMU001,Double Room,1700000,Đang dọn
CMU001_R032,CMU001,Double Room,1700000,Trống
CMU001_R033,CMU001,Single Room,1000000,Trống
CMU001_R034,CMU001,Studio Room,1300000,Đang sử dụng
CMU001_R035,CMU001,Accessible Room,1100000,Đang dọn
CMU002_R001,CMU002,Standard Room,1200000,Trống
CMU002_R002,CMU002,Standard Room,1200000,Trống
CMU002_R003,CMU002,Standard Room,1200000,Trống
CMU002_R004,CMU002,Standard Room,1200000,Trống
CMU002_R005,CMU002,Standard Room,1200000,Đang sử dụng
CMU002_R006,CMU002,Standard Room,1200000,Trống
CMU002_R007,CMU002,Standard Room,1200000,Đang sử dụng
CMU002_R008,CMU002,Standard Room,1200000,Đang dọn
CMU002_R009,CMU002,Standard Room,1200000,Đang sử dụng
CMU002_R010,CMU002,Deluxe Room,1800000,Đang dọn
CMU002_R011,CMU002,Deluxe Room,1800000,Đang sử dụng
CMU002_R012,CMU002,Deluxe Room,1800000,Đang sử dụng
CMU002_R013,CMU002,Deluxe Room,1800000,Đang sử dụng
CMU002_R014,CMU002,Deluxe Room,1800000,Trống
CMU002_R015,CMU002,Deluxe Room,1800000,Đang sử dụng
CMU002_R016,CMU002,Superior Room,1500000,Đang dọn
CMU002_R017,CMU002,Superior Room,1500000,Trống
CMU002_R018,CMU002,Superior Room,1500000,Đang dọn
CMU002_R019,CMU002,Superior Room,1500000,Trống
CMU002_R020,CMU002,Executive Room,2400000,Đang dọn
CMU002_R021,CMU002,Executive Room,2400000,Đang dọn
CMU002_R022,CMU002,Junior Suite,2800000,Đang sử dụng
CMU002_R023,CMU002,Junior Suite,2800000,Trống
CMU002_R024,CMU002,Suite,3500000,Đang sử dụng
CMU002_R025,CMU002,Suite,3500000,Trống
CMU002_R026,CMU002,Family Room,2200000,Đang sử dụng
CMU002_R027,CMU002,Family Room,2200000,Trống
CMU002_R028,CMU002,Connecting Room,2000000,Đang sử dụng
CMU002_R029,CMU002,Connecting Room,2000000,Đang sử dụng
CMU002_R030,CMU002,Twin Room,1700000,Đang dọn
CMU002_R031,CMU002,Double Room,1700000,Trống
CMU002_R032,CMU002,Double Room,1700000,Trống
CMU002_R033,CMU002,Single Room,1000000,Trống
CMU002_R034,CMU002,Studio Room,1300000,Đang dọn
CMU002_R035,CMU002,Accessible Room,1100000,Đang sử dụng
CTO001_R001,CTO001,Standard Room,1200000,Đang sử dụng
CTO001_R002,CTO001,Standard Room,1200000,Đang dọn
CTO001_R003,CTO001,Standard Room,1200000,Trống
CTO001_R004,CTO001,Standard Room,1200000,Đang sử dụng
CTO001_R005,CTO001,Standard Room,1200000,Đang sử dụng
CTO001_R006,CTO001,Standard Room,1200000,Đang sử dụng
CTO001_R007,CTO001,Standard Room,1200000,Đang sử dụng
CTO001_R008,CTO001,Standard Room,1200000,Trống
CTO001_R009,CTO001,Deluxe Room,1800000,Trống
CTO001_R010,CTO001,Deluxe Room,1800000,Đang sử dụng
CTO001_R011,CTO001,Deluxe Room,1800000,Trống
CTO001_R012,CTO001,Deluxe Room,1800000,Trống
CTO001_R013,CTO001,Deluxe Room,1800000,Đang sử dụng
CTO001_R014,CTO001,Deluxe Room,1800000,Trống
CTO001_R015,CTO001,Superior Room,1500000,Đang sử dụng
CTO001_R016,CTO001,Superior Room,1500000,Trống
CTO001_R017,CTO001,Superior Room,1500000,Đang dọn
CTO001_R018,CTO001,Executive Room,2400000,Trống
CTO001_R019,CTO001,Junior Suite,2800000,Đang dọn
CTO001_R020,CTO001,Suite,3500000,Đang sử dụng
CTO001_R021,CTO001,Family Room,2200000,Trống
CTO001_R022,CTO001,Family Room,2200000,Đang sử dụng
CTO001_R023,CTO001,Connecting Room,2000000,Trống
CTO001_R024,CTO001,Twin Room,1700000,Đang dọn
CTO001_R025,CTO001,Double Room,1700000,Trống
CTO001_R026,CTO001,Single Room,1000000,Đang sử dụng
CTO001_R027,CTO001,Studio Room,1300000,Trống
CTO001_R028,CTO001,Accessible Room,1100000,Trống
CTO002_R001,CTO002,Standard Room,1200000,Đang sử dụng
CTO002_R002,CTO002,Standard Room,1200000,Đang dọn
CTO002_R003,CTO002,Standard Room,1200000,Trống
CTO002_R004,CTO002,Standard Room,1200000,Đang sử dụng
CTO002_R005,CTO002,Standard Room,1200000,Trống
CTO002_R006,CTO002,Deluxe Room,1800000,Đang dọn
CTO002_R007,CTO002,Deluxe Room,1800000,Trống
CTO002_R008,CTO002,Deluxe Room,1800000,Đang dọn
CTO002_R009,CTO002,Superior Room,1500000,Đang dọn
CTO002_R010,CTO002,Superior Room,1500000,Trống
CTO002_R011,CTO002,Executive Room,2400000,Đang dọn
CTO002_R012,CTO002,Junior Suite,2800000,Trống
CTO002_R013,CTO002,Suite,3500000,Đang sử dụng
CTO002_R014,CTO002,Family Room,2200000,Trống
CTO002_R015,CTO002,Connecting Room,2000000,Đang dọn
CTO002_R016,CTO002,Twin Room,1700000,Đang sử dụng
CTO002_R017,CTO002,Double Room,1700000,Trống
CBG001_R001,CBG001,Standard Room,1200000,Trống
CBG001_R002,CBG001,Standard Room,1200000,Trống
CBG001_R003,CBG001,Standard Room,1200000,Đang dọn
CBG001_R004,CBG001,Standard Room,1200000,Đang dọn
CBG001_R005,CBG001,Standard Room,1200000,Đang sử dụng
CBG001_R006,CBG001,Deluxe Room,1800000,Đang sử dụng
CBG001_R007,CBG001,Deluxe Room,1800000,Trống
CBG001_R008,CBG001,Deluxe Room,1800000,Đang sử dụng
CBG001_R009,CBG001,Superior Room,1500000,Đang sử dụng
CBG001_R010,CBG001,Superior Room,1500000,Trống
CBG001_R011,CBG001,Executive Room,2400000,Đang dọn
CBG001_R012,CBG001,Junior Suite,2800000,Đang sử dụng
CBG001_R013,CBG001,Suite,3500000,Trống
CBG001_R014,CBG001,Family Room,2200000,Đang dọn
CBG001_R015,CBG001,Connecting Room,2000000,Đang dọn
CBG001_R016,CBG001,Twin Room,1700000,Trống
CBG001_R017,CBG001,Double Room,1700000,Đang sử dụng
CBG002_R001,CBG002,Standard Room,1200000,Trống
CBG002_R002,CBG002,Standard Room,1200000,Trống
CBG002_R003,CBG002,Standard Room,1200000,Đang dọn
CBG002_R004,CBG002,Standard Room,1200000,Đang sử dụng
CBG002_R005,CBG002,Standard Room,1200000,Đang dọn
CBG002_R006,CBG002,Standard Room,1200000,Đang sử dụng
CBG002_R007,CBG002,Standard Room,1200000,Đang dọn
CBG002_R008,CBG002,Deluxe Room,1800000,Đang sử dụng
CBG002_R009,CBG002,Deluxe Room,1800000,Trống
CBG002_R010,CBG002,Deluxe Room,1800000,Trống
CBG002_R011,CBG002,Deluxe Room,1800000,Trống
CBG002_R012,CBG002,Deluxe Room,1800000,Đang sử dụng
CBG002_R013,CBG002,Superior Room,1500000,Đang sử dụng
CBG002_R014,CBG002,Superior Room,1500000,Đang dọn
CBG002_R015,CBG002,Superior Room,1500000,Đang sử dụng
CBG002_R016,CBG002,Executive Room,2400000,Đang dọn
CBG002_R017,CBG002,Junior Suite,2800000,Trống
CBG002_R018,CBG002,Suite,3500000,Đang dọn
CBG002_R019,CBG002,Family Room,2200000,Đang dọn
CBG002_R020,CBG002,Family Room,2200000,Đang sử dụng
CBG002_R021,CBG002,Connecting Room,2000000,Đang sử dụng
CBG002_R022,CBG002,Twin Room,1700000,Trống
CBG002_R023,CBG002,Double Room,1700000,Đang dọn
DNG001_R001,DNG001,Standard Room,1200000,Đang sử dụng
DNG001_R002,DNG001,Standard Room,1200000,Đang sử dụng
DNG001_R003,DNG001,Standard Room,1200000,Đang sử dụng
DNG001_R004,DNG001,Standard Room,1200000,Đang sử dụng
DNG001_R005,DNG001,Deluxe Room,1800000,Đang dọn
DNG001_R006,DNG001,Deluxe Room,1800000,Đang dọn
DNG001_R007,DNG001,Deluxe Room,1800000,Đang sử dụng
DNG001_R008,DNG001,Superior Room,1500000,Trống
DNG001_R009,DNG001,Superior Room,1500000,Đang sử dụng
DNG001_R010,DNG001,Executive Room,2400000,Đang sử dụng
DNG001_R011,DNG001,Junior Suite,2800000,Đang dọn
DNG001_R012,DNG001,Suite,3500000,Đang sử dụng
DNG001_R013,DNG001,Family Room,2200000,Đang dọn
DNG001_R014,DNG001,Connecting Room,2000000,Đang dọn
DNG001_R015,DNG001,Twin Room,1700000,Trống
DNG001_R016,DNG001,Double Room,1700000,Đang dọn
DNG002_R001,DNG002,Standard Room,1200000,Trống
DNG002_R002,DNG002,Standard Room,1200000,Trống
DNG002_R003,DNG002,Standard Room,1200000,Đang sử dụng
DNG002_R004,DNG002,Standard Room,1200000,Đang dọn
DNG002_R005,DNG002,Standard Room,1200000,Đang sử dụng
DNG002_R006,DNG002,Standard Room,1200000,Đang sử dụng
DNG002_R007,DNG002,Standard Room,1200000,Trống
DNG002_R008,DNG002,Deluxe Room,1800000,Đang dọn
DNG002_R009,DNG002,Deluxe Room,1800000,Đang dọn
DNG002_R010,DNG002,Deluxe Room,1800000,Trống
DNG002_R011,DNG002,Deluxe Room,1800000,Đang dọn
DNG002_R012,DNG002,Deluxe Room,1800000,Đang sử dụng
DNG002_R013,DNG002,Superior Room,1500000,Trống
DNG002_R014,DNG002,Superior Room,1500000,Trống
DNG002_R015,DNG002,Superior Room,1500000,Trống
DNG002_R016,DNG002,Executive Room,2400000,Đang dọn
DNG002_R017,DNG002,Junior Suite,2800000,Đang sử dụng
DNG002_R018,DNG002,Suite,3500000,Đang dọn
DNG002_R019,DNG002,Family Room,2200000,Trống
DNG002_R020,DNG002,Family Room,2200000,Trống
DNG002_R021,DNG002,Connecting Room,2000000,Trống
DNG002_R022,DNG002,Twin Room,1700000,Đang dọn
DNG002_R023,DNG002,Double Room,1700000,Đang sử dụng
DNG003_R001,DNG003,Standard Room,1200000,Trống
DNG003_R002,DNG003,Standard Room,1200000,Đang sử dụng
DNG003_R003,DNG003,Standard Room,1200000,Trống
DNG003_R004,DNG003,Standard Room,1200000,Đang dọn
DNG003_R005,DNG003,Standard Room,1200000,Trống
DNG003_R006,DNG003,Standard Room,1200000,Đang dọn
DNG003_R007,DNG003,Deluxe Room,1800000,Trống
DNG003_R008,DNG003,Deluxe Room,1800000,Đang sử dụng
DNG003_R009,DNG003,Deluxe Room,1800000,Đang sử dụng
DNG003_R010,DNG003,Deluxe Room,1800000,Đang sử dụng
DNG003_R011,DNG003,Superior Room,1500000,Trống
DNG003_R012,DNG003,Superior Room,1500000,Đang dọn
DNG003_R013,DNG003,Executive Room,2400000,Đang sử dụng
DNG003_R014,DNG003,Junior Suite,2800000,Trống
DNG003_R015,DNG003,Suite,3500000,Đang dọn
DNG003_R016,DNG003,Family Room,2200000,Đang sử dụng
DNG003_R017,DNG003,Connecting Room,2000000,Đang sử dụng
DNG003_R018,DNG003,Twin Room,1700000,Trống
DNG003_R019,DNG003,Double Room,1700000,Đang dọn
DLK001_R001,DLK001,Standard Room,1200000,Trống
DLK001_R002,DLK001,Standard Room,1200000,Đang sử dụng
DLK001_R003,DLK001,Standard Room,1200000,Đang dọn
DLK001_R004,DLK001,Standard Room,1200000,Trống
DLK001_R005,DLK001,Standard Room,1200000,Đang dọn
DLK001_R006,DLK001,Standard Room,1200000,Đang dọn
DLK001_R007,DLK001,Standard Room,1200000,Đang sử dụng
DLK001_R008,DLK001,Standard Room,1200000,Đang dọn
DLK001_R009,DLK001,Standard Room,1200000,Đang dọn
DLK001_R010,DLK001,Standard Room,1200000,Trống
DLK001_R011,DLK001,Standard Room,1200000,Đang dọn
DLK001_R012,DLK001,Deluxe Room,1800000,Đang sử dụng
DLK001_R013,DLK001,Deluxe Room,1800000,Trống
DLK001_R014,DLK001,Deluxe Room,1800000,Trống
DLK001_R015,DLK001,Deluxe Room,1800000,Trống
DLK001_R016,DLK001,Deluxe Room,1800000,Đang dọn
DLK001_R017,DLK001,Deluxe Room,1800000,Đang dọn
DLK001_R018,DLK001,Deluxe Room,1800000,Đang sử dụng
DLK001_R019,DLK001,Superior Room,1500000,Đang dọn
DLK001_R020,DLK001,Superior Room,1500000,Đang dọn
DLK001_R021,DLK001,Superior Room,1500000,Trống
DLK001_R022,DLK001,Superior Room,1500000,Trống
DLK001_R023,DLK001,Executive Room,2400000,Trống
DLK001_R024,DLK001,Executive Room,2400000,Trống
DLK001_R025,DLK001,Junior Suite,2800000,Trống
DLK001_R026,DLK001,Junior Suite,2800000,Đang sử dụng
DLK001_R027,DLK001,Suite,3500000,Trống
DLK001_R028,DLK001,Suite,3500000,Trống
DLK001_R029,DLK001,Family Room,2200000,Đang dọn
DLK001_R030,DLK001,Family Room,2200000,Đang sử dụng
DLK001_R031,DLK001,Family Room,2200000,Đang dọn
